epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7525,2.4275,3.49446,2.80098,1.75171,0.00581,0.05833,0.00165,0.00043,6e-05,0.01667,3e-05,1e-05,3.58089,8.86909,26.6571,3.80405,0.0699486,0.00286,0.00286
2,20.0252,2.19906,2.90062,2.15163,1.65008,0.04339,0.05417,0.00612,0.00171,0.00369,0.00417,0.00039,6e-05,nan,nan,nan,nan,0.039398,0.00564268,0.00564268
3,28.8726,2.36335,2.93218,2.2551,1.77382,0.03258,0.22083,0.01351,0.00397,0.02659,0.175,0.00866,0.00196,2.82298,32.1473,6.43878,6.24794,0.0087326,0.00831066,0.00831066
4,37.7394,2.23363,2.8112,2.20342,1.73331,0.14838,0.07083,0.04049,0.01177,0.26192,0.05417,0.03314,0.00606,3.01059,4.25344,4.12084,2.68821,0.00817381,0.00817381,0.00817381
5,46.9416,2.22618,2.78791,2.04578,1.69468,0.26566,0.20833,0.14124,0.04662,0.2012,0.1875,0.09677,0.021,2.49228,194.888,2.7331,13.076,0.00800175,0.00800175,0.00800175
6,55.7724,2.41016,2.96262,2.26117,1.85416,0.0242,0.125,0.01242,0.00353,0.02256,0.07917,0.00492,0.00106,3.08102,282.78,7.23835,4.81318,0.00782969,0.00782969,0.00782969
7,65.3979,2.29162,2.9158,2.12914,1.76875,0.07327,0.1,0.0364,0.01179,0.05253,0.08333,0.0196,0.00485,3.28195,3.76249,4.4186,2.7224,0.00765763,0.00765763,0.00765763
8,74.5625,2.22008,2.75955,2.05534,1.73814,0.32272,0.34167,0.22879,0.07463,0.31291,0.34725,0.22147,0.05737,2.1107,2.36993,2.37207,1.74516,0.00748557,0.00748557,0.00748557
9,83.7362,2.15789,2.74082,1.97019,1.6993,0.14249,0.09167,0.02754,0.00659,0.01744,0.02083,0.00124,0.0002,2.83968,3.88015,4.91955,2.39063,0.0073135,0.0073135,0.0073135
10,92.2816,2.21695,2.84847,2.03873,1.73443,0.30815,0.2375,0.18957,0.07026,0.31495,0.24167,0.1773,0.05289,2.3856,2.68334,3.02384,1.8318,0.00714144,0.00714144,0.00714144
11,101.106,2.10847,2.54843,1.89906,1.66406,0.35753,0.12917,0.1366,0.05091,0.33637,0.125,0.1174,0.02868,2.26444,2.74169,3.7621,1.80505,0.00696938,0.00696938,0.00696938
12,109.814,2.12411,2.67196,1.92846,1.69183,0.22285,0.20417,0.10762,0.03031,0.09224,0.15417,0.04553,0.00663,2.54267,3.23376,3.37528,2.12464,0.00679732,0.00679732,0.00679732
13,118.6,2.03219,2.57488,1.86441,1.63465,0.28228,0.34583,0.21425,0.08268,0.26941,0.325,0.1991,0.04889,2.27569,2.72736,2.2531,1.84368,0.00662526,0.00662526,0.00662526
14,127.486,1.97031,2.44544,1.78842,1.58773,0.46765,0.475,0.37109,0.1502,0.4764,0.47917,0.37036,0.12952,2.0104,2.11724,1.80565,1.61128,0.00645319,0.00645319,0.00645319
15,136.331,1.99816,2.42795,1.79878,1.56891,0.10146,0.12917,0.04294,0.01432,0.06118,0.11667,0.0242,0.00521,2.50758,3.24976,3.82298,1.98946,0.00628113,0.00628113,0.00628113
16,145.309,2.00625,2.43306,1.75891,1.63692,0.35805,0.2875,0.27551,0.10374,0.26689,0.40833,0.29437,0.09657,2.12585,2.48869,2.56785,1.76655,0.00610907,0.00610907,0.00610907
17,154.12,2.02345,2.4339,1.79768,1.62297,0.48159,0.4875,0.39493,0.16443,0.45163,0.46667,0.38589,0.13102,1.92312,2.18987,2.05379,1.62471,0.00593701,0.00593701,0.00593701
18,163.431,1.93541,2.33183,1.68639,1.5587,0.32703,0.32083,0.22916,0.09528,0.28031,0.275,0.18847,0.06366,2.15224,2.52823,2.3916,1.71099,0.00576495,0.00576495,0.00576495
19,172.106,1.95311,2.36004,1.72161,1.54641,0.40486,0.49583,0.38304,0.15533,0.44011,0.51095,0.40532,0.1255,2.0193,2.12806,1.8222,1.63693,0.00559288,0.00559288,0.00559288
20,180.999,1.8945,2.29881,1.66066,1.55236,0.50018,0.54623,0.49571,0.22715,0.46584,0.50873,0.44527,0.15266,1.82826,2.16448,1.58711,1.5036,0.00542082,0.00542082,0.00542082
21,189.826,1.95131,2.38041,1.64831,1.53433,0.44176,0.5625,0.49345,0.21565,0.60359,0.38333,0.45743,0.14801,1.90395,2.27526,1.5587,1.52295,0.00524876,0.00524876,0.00524876
22,198.503,1.88015,2.28372,1.54445,1.47331,0.38582,0.46667,0.35887,0.1467,0.36284,0.45833,0.35766,0.10623,2.0124,2.20669,1.92171,1.57864,0.0050767,0.0050767,0.0050767
23,207.596,1.86024,2.25628,1.54771,1.48162,0.50567,0.34098,0.33029,0.13728,0.59935,0.3375,0.36189,0.12174,2.0355,2.4191,2.32554,1.6333,0.00490464,0.00490464,0.00490464
24,216.686,1.8233,2.22583,1.54517,1.46805,0.58035,0.425,0.47165,0.22783,0.5992,0.43606,0.48912,0.16165,1.86707,2.24459,1.65212,1.49835,0.00473257,0.00473257,0.00473257
25,225.675,1.82316,2.23811,1.57017,1.47585,0.47401,0.57083,0.48852,0.22817,0.48756,0.50833,0.48613,0.19349,1.79519,1.94841,1.5202,1.4594,0.00456051,0.00456051,0.00456051
26,234.295,1.77911,2.21867,1.496,1.44898,0.56401,0.49583,0.50041,0.22166,0.64837,0.44562,0.48293,0.16914,1.9102,2.13192,1.77732,1.51139,0.00438845,0.00438845,0.00438845
27,242.844,1.86247,2.19273,1.5404,1.5037,0.53912,0.47917,0.48832,0.20181,0.46597,0.48333,0.45274,0.16439,1.9782,2.12061,1.7511,1.62358,0.00421639,0.00421639,0.00421639
28,251.588,1.79298,2.23,1.56097,1.46786,0.547,0.54583,0.55965,0.24511,0.55904,0.57083,0.56469,0.20951,1.89744,1.99088,1.4678,1.53434,0.00404433,0.00404433,0.00404433
29,260.408,1.80693,2.20269,1.48579,1.46187,0.54857,0.61667,0.57388,0.22181,0.60397,0.6375,0.59132,0.19188,1.87935,1.89254,1.51168,1.55159,0.00387226,0.00387226,0.00387226
30,269.119,1.79255,2.14639,1.47165,1.46702,0.59119,0.62064,0.58768,0.28455,0.57227,0.60833,0.57949,0.20373,1.70231,1.97937,1.43936,1.4489,0.0037002,0.0037002,0.0037002
31,277.649,1.7659,2.20414,1.47867,1.44373,0.54535,0.6875,0.61342,0.2787,0.54952,0.6875,0.60272,0.21085,1.71762,1.9602,1.35352,1.43314,0.00352814,0.00352814,0.00352814
32,286.379,1.74752,2.22266,1.49857,1.42743,0.53026,0.61667,0.548,0.25738,0.52976,0.57917,0.53494,0.19778,1.79542,1.91137,1.5377,1.46728,0.00335608,0.00335608,0.00335608
33,294.977,1.70178,2.11014,1.43293,1.39878,0.63135,0.5375,0.59442,0.27267,0.60719,0.6,0.60303,0.2193,1.73878,1.81663,1.42039,1.46245,0.00318402,0.00318402,0.00318402
34,303.963,1.70737,2.1613,1.40465,1.4228,0.64555,0.50833,0.55447,0.26593,0.63678,0.49583,0.50699,0.18177,1.73239,2.12657,1.49506,1.45323,0.00301195,0.00301195,0.00301195
35,312.912,1.73097,2.12375,1.42645,1.41909,0.51502,0.5708,0.54608,0.2515,0.46281,0.52917,0.45546,0.14007,1.76326,2.02155,1.49948,1.44617,0.00283989,0.00283989,0.00283989
36,321.717,1.70604,2.19431,1.39869,1.4013,0.61978,0.6,0.58233,0.27389,0.68899,0.6,0.61904,0.23609,1.65881,1.83257,1.41139,1.3915,0.00266783,0.00266783,0.00266783
37,330.345,1.67734,2.1973,1.43625,1.40838,0.6378,0.65417,0.62246,0.31975,0.61947,0.62917,0.60404,0.25367,1.58994,1.81498,1.31389,1.32987,0.00249577,0.00249577,0.00249577
38,339.175,1.66303,2.19609,1.39702,1.3829,0.56073,0.6125,0.58036,0.28204,0.58773,0.55417,0.54545,0.19433,1.70971,2.08109,1.41495,1.40513,0.00232371,0.00232371,0.00232371
39,348.084,1.59962,2.02513,1.3095,1.36043,0.56323,0.5625,0.56557,0.28055,0.55142,0.5375,0.53557,0.18809,1.67737,2.01187,1.44079,1.38523,0.00215164,0.00215164,0.00215164
40,356.973,1.60976,2.09462,1.34848,1.36309,0.62143,0.60191,0.64942,0.33773,0.64786,0.5826,0.63708,0.26963,1.63006,1.76181,1.33185,1.36035,0.00197958,0.00197958,0.00197958
41,381.071,1.64436,1.95015,1.4368,1.46344,0.60013,0.575,0.60547,0.30577,0.61596,0.525,0.57086,0.22482,1.64669,1.90993,1.57458,1.35227,0.00180752,0.00180752,0.00180752
42,390.217,1.66572,1.9426,1.41635,1.47308,0.60147,0.56667,0.56804,0.27666,0.61236,0.5529,0.55452,0.1997,1.76665,2.01382,1.54535,1.44272,0.00163546,0.00163546,0.00163546
43,399.268,1.66637,1.95557,1.38063,1.49155,0.51064,0.6125,0.54035,0.24081,0.53648,0.64167,0.56159,0.20113,1.74143,1.97035,1.64686,1.49308,0.0014634,0.0014634,0.0014634
44,407.97,1.60966,1.92586,1.35449,1.43707,0.59506,0.64583,0.6819,0.34952,0.68702,0.59167,0.67213,0.28026,1.54934,1.75353,1.24025,1.34346,0.00129133,0.00129133,0.00129133
45,417.034,1.63917,1.89882,1.30719,1.44428,0.65876,0.70833,0.70214,0.37592,0.66528,0.70417,0.69637,0.31944,1.48835,1.69897,1.21613,1.29716,0.00111927,0.00111927,0.00111927
46,425.972,1.54423,1.83107,1.26791,1.40251,0.64463,0.73316,0.71663,0.3895,0.62158,0.72083,0.69531,0.30246,1.50886,1.74248,1.20614,1.29855,0.00094721,0.00094721,0.00094721
47,435.004,1.51945,1.79918,1.22807,1.38878,0.72072,0.6375,0.7117,0.37864,0.71601,0.63333,0.69692,0.3136,1.48073,1.71244,1.23867,1.28115,0.000775148,0.000775148,0.000775148
48,444.041,1.53743,1.83475,1.24303,1.38794,0.72105,0.657,0.72432,0.40103,0.71916,0.6375,0.70559,0.31395,1.47837,1.7443,1.21775,1.27626,0.000603086,0.000603086,0.000603086
49,453.083,1.49591,1.83515,1.20336,1.35378,0.77858,0.71667,0.76988,0.43184,0.78221,0.71667,0.76313,0.34655,1.46207,1.65708,1.14419,1.26693,0.000431024,0.000431024,0.000431024
50,462.095,1.49554,1.74916,1.18273,1.36633,0.76007,0.73333,0.78426,0.43812,0.78193,0.70417,0.77192,0.34992,1.47197,1.65792,1.11264,1.26966,0.000258962,0.000258962,0.000258962
