epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4367,2.36742,3.62901,2.756,1.74149,0.00296,0.11667,0.00134,0.00039,2e-05,0.00417,1e-05,0,4.15185,741.697,366.787,81.6723,0.069919,0.00283038,0.00283038
2,20.6369,2.24209,3.08255,2.25523,1.68776,0.00015,0.025,6e-05,2e-05,0,0,0,0,nan,nan,nan,nan,0.0393395,0.00558424,0.00558424
3,29.6973,2.3154,2.89543,2.28219,1.75236,0.24715,0.04167,0.02869,0.00668,0.06516,0.0375,0.01544,0.00329,3.46825,6.87371,4.55231,4.15877,0.00864653,0.00822459,0.00822459
4,39.1273,2.28564,2.79176,2.09444,1.79699,0.03912,0.08333,0.02211,0.0061,0.08726,0.03333,0.00942,0.00187,3.29582,9.20683,6.08305,6.71087,0.00808916,0.00808916,0.00808916
5,48.2997,2.32324,2.75865,2.0984,1.77666,0.11386,0.34167,0.08772,0.0283,0.10506,0.275,0.08528,0.02047,2.44526,2.91083,3.80727,1.98002,0.00791888,0.00791888,0.00791888
6,57.596,2.32282,2.77235,2.09668,1.78969,0.31139,0.27917,0.221,0.07924,0.35666,0.2625,0.20501,0.05588,2.20508,2.69774,2.14577,1.7476,0.0077486,0.0077486,0.0077486
7,66.9481,2.21437,2.62774,1.99218,1.72589,0.27186,0.2987,0.20234,0.06752,0.30041,0.25833,0.17958,0.04997,2.4585,2.77419,2.38644,1.88834,0.00757832,0.00757832,0.00757832
8,76.1911,2.14864,2.5291,1.93681,1.72332,0.25384,0.20271,0.12097,0.04032,0.2394,0.14167,0.07295,0.02149,2.97605,4.6423,4.59294,2.36212,0.00740804,0.00740804,0.00740804
9,84.8596,2.18009,2.59836,1.88204,1.75729,0.23231,0.17083,0.09666,0.02987,0.16621,0.10715,0.06177,0.0133,2.66945,3.20962,5.09399,2.04028,0.00723776,0.00723776,0.00723776
10,93.3522,2.03844,2.52243,1.80674,1.63628,0.39883,0.31514,0.27524,0.10086,0.39858,0.30417,0.26348,0.06779,2.06894,3.70406,3.27737,1.68659,0.00706748,0.00706748,0.00706748
11,102.47,2.05428,2.4081,1.80761,1.65154,0.34886,0.34583,0.27637,0.10142,0.33855,0.325,0.25244,0.06204,2.05069,3.47747,2.22975,1.66098,0.0068972,0.0068972,0.0068972
12,111.179,1.98567,2.40296,1.76927,1.60689,0.43522,0.39173,0.37785,0.15317,0.39356,0.35423,0.32463,0.09229,2.10195,2.22613,2.30152,1.72722,0.00672692,0.00672692,0.00672692
13,120.133,2.00737,2.39813,1.78041,1.61873,0.3274,0.3625,0.2611,0.09956,0.32292,0.35,0.24076,0.07543,2.16067,2.49244,2.93543,1.76132,0.00655664,0.00655664,0.00655664
14,129.089,1.99535,2.40673,1.7495,1.62107,0.38604,0.39583,0.29652,0.11158,0.35981,0.3625,0.26305,0.08038,2.08988,3.24341,1.93114,1.66578,0.00638636,0.00638636,0.00638636
15,138.208,1.97359,2.36388,1.73868,1.58495,0.43927,0.52553,0.44231,0.17138,0.50841,0.45679,0.44178,0.1544,2.00683,2.92833,1.62766,1.60981,0.00621608,0.00621608,0.00621608
