epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2643,2.43866,3.467,2.86728,1.7834,0.00093,0.00417,0.00053,0.00017,0.00093,0.00417,9e-05,2e-05,3.96895,34.8352,10.6625,6.83621,0.0701658,0.00307722,0.00307722
2,20.4169,2.26662,2.97158,2.26797,1.71366,0.00037,0.09583,0.0002,5e-05,0,0,0,0,3.7289,nan,inf,129.466,0.0398265,0.00607124,0.00607124
3,29.4265,2.43254,3.06071,2.34421,1.85055,0.16737,0.05417,0.01735,0.00426,0.1779,0.02917,0.01132,0.00219,3.41815,49.8815,11.4104,8.65994,0.00936379,0.00894185,0.00894185
4,38.3258,2.42218,3.2851,2.42669,1.94066,0.00565,0.19167,0.00308,0.00092,0.00289,0.09167,0.00106,0.00021,3.22509,4.4714,68.5013,3.5324,0.00879461,0.00879461,0.00879461
5,47.7695,2.32591,3.00736,2.24267,1.81534,0.13173,0.12917,0.04329,0.01108,0.19388,0.12917,0.04357,0.01133,3.18822,13.3317,3.45834,2.75202,0.00860948,0.00860948,0.00860948
6,56.6362,2.33024,2.8128,2.19719,1.79901,0.2221,0.34583,0.13467,0.03883,0.20819,0.32917,0.12826,0.02983,2.71844,3.16184,2.84899,2.04945,0.00842435,0.00842435,0.00842435
7,65.7315,2.32709,2.93073,2.16409,1.80985,0.17271,0.1,0.04752,0.01242,0.02181,0.02083,0.00303,0.00052,2.85009,3.90921,4.53436,2.26183,0.00823922,0.00823922,0.00823922
8,74.5776,2.38384,3.15194,2.32278,1.9603,0.00088,0.16667,0.00051,0.00016,0.00018,0.04583,0.0001,4e-05,4.00083,822.185,inf,131.308,0.00805409,0.00805409,0.00805409
9,83.3386,2.29173,3.00802,2.16099,1.87217,0.15025,0.32917,0.11548,0.03176,0.20216,0.1125,0.06279,0.01283,2.56625,3.50047,2.42451,1.96501,0.00786896,0.00786896,0.00786896
10,92.0939,2.2604,2.82569,2.12196,1.83401,0.03272,0.35833,0.02313,0.00797,0.03298,0.3125,0.01997,0.00434,2.49632,2.71053,5.98949,2.1769,0.00768383,0.00768383,0.00768383
11,100.935,2.23849,2.8419,2.09324,1.79309,0.35704,0.225,0.195,0.06212,0.39687,0.20417,0.18706,0.05869,2.31573,2.58304,2.59274,1.83269,0.0074987,0.0074987,0.0074987
12,109.791,2.13482,2.71211,2.04195,1.70915,0.3076,0.30913,0.23375,0.08114,0.36583,0.2644,0.18256,0.04427,2.1614,2.52612,2.58527,1.75639,0.00731357,0.00731357,0.00731357
13,118.839,2.09522,2.61337,1.94393,1.6654,0.31042,0.4858,0.31411,0.1189,0.30086,0.47083,0.30028,0.1065,2.04515,2.2075,1.94684,1.74589,0.00712844,0.00712844,0.00712844
14,127.754,2.04119,2.48721,1.8913,1.69046,0.39098,0.3,0.29983,0.10497,0.47075,0.25833,0.26323,0.0748,2.27677,2.72153,2.09187,1.80899,0.00694331,0.00694331,0.00694331
15,136.713,2.13082,2.56102,1.9036,1.68487,0.32218,0.3125,0.24402,0.10186,0.34793,0.25833,0.23356,0.07961,2.46745,2.4887,2.28616,1.9408,0.00675818,0.00675818,0.00675818
