epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0112,2.47307,3.55689,2.84723,1.81851,0.01893,0.0125,0.00482,0.00137,0.00818,0.04167,0.00232,0.00041,2.86936,5.30345,6.62042,2.12737,0.0702415,0.00315291,0.00315291
2,20.7951,2.30237,3.06832,2.33434,1.72704,0.06488,0.09167,0.02959,0.0063,0.07124,0.07917,0.02531,0.0053,3.20681,33.8271,3.60692,6.15915,0.0399759,0.00622059,0.00622059
3,29.7777,2.4416,3.12579,2.35644,1.80265,0.00221,0.07917,0.00119,0.00039,0.00129,0.03333,0.00054,0.00014,3.30634,8.01627,10.1555,11.542,0.00958375,0.00916181,0.00916181
4,38.8425,2.40461,3.09115,2.33678,1.90098,0.00219,0.29167,0.00155,0.00058,0.00061,0.15417,0.00037,0.0001,nan,nan,nan,nan,0.00901095,0.00901095,0.00901095
5,47.9787,2.43015,3.03015,2.38013,1.91013,0.00013,0.03333,7e-05,3e-05,2e-05,0.00417,1e-05,0,nan,nan,nan,nan,0.00882126,0.00882126,0.00882126
6,56.8548,2.44884,3.05775,2.33482,1.9053,0.00635,0.15833,0.00407,0.00135,0.00471,0.14167,0.00237,0.00068,2.79671,2.92313,143.228,2.18247,0.00863158,0.00863158,0.00863158
7,65.7851,2.39235,2.93419,2.24224,1.87421,0.23941,0.20417,0.16056,0.04232,0.20535,0.21667,0.13539,0.03136,2.65568,3.23318,10.4371,2.08294,0.0084419,0.0084419,0.0084419
8,74.7268,2.33221,2.90751,2.23051,1.85753,0.08529,0.4,0.05634,0.01832,0.07727,0.3203,0.0434,0.01263,2.50524,2.59975,14.8374,1.98521,0.00825221,0.00825221,0.00825221
9,83.3805,2.26891,2.77374,2.12973,1.79125,0.20404,0.2125,0.12332,0.04139,0.23682,0.12083,0.09151,0.02222,2.6012,4.1899,5.15992,2.01798,0.00806253,0.00806253,0.00806253
10,91.8347,2.23006,2.78444,2.03274,1.75202,0.28777,0.27917,0.21176,0.07006,0.28038,0.2625,0.18821,0.04664,2.31512,2.57738,10.4041,1.89536,0.00787284,0.00787284,0.00787284
11,100.375,2.26597,2.64505,2.04385,1.78784,0.02957,0.4125,0.02595,0.00767,0.02778,0.3875,0.02297,0.00752,2.42795,2.73369,83.1569,1.862,0.00768316,0.00768316,0.00768316
12,108.811,2.20197,2.72874,2.04066,1.77731,0.25998,0.25325,0.1368,0.04323,0.19218,0.15833,0.06555,0.01203,2.32823,3.18701,3.07221,1.98148,0.00749348,0.00749348,0.00749348
13,117.571,2.14814,2.60263,1.99223,1.7251,0.36656,0.47083,0.33417,0.1149,0.39721,0.4125,0.33943,0.09838,2.19098,2.1831,1.86808,1.7506,0.00730379,0.00730379,0.00730379
