epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9086,2.41661,3.35877,2.73602,1.73264,0.2712,0.30833,0.19676,0.06445,0.20855,0.24583,0.09622,0.01854,2.53068,5.15347,5.85736,2.19254,0.0690732,0.00198456,0.00198456
2,20.0887,2.13322,2.87993,2.08407,1.58282,0.012,0.02083,0.00335,0.00084,0.01452,0.025,0.00076,0.00022,3.34018,5.9932,5.48985,2.53454,0.0376711,0.00391583,0.00391583
3,29.598,2.25877,2.84387,2.12637,1.62495,0.12254,0.17083,0.05569,0.01753,0.10194,0.2,0.04854,0.01065,2.68925,3.16172,2.86125,2.1532,0.0061898,0.00576786,0.00576786
4,38.7851,2.18398,2.79784,2.11321,1.65938,0.21843,0.3375,0.17994,0.06233,0.20787,0.30417,0.14414,0.03841,2.2983,6.02413,3.45045,2.1498,0.00567345,0.00567345,0.00567345
5,47.5368,2.15526,2.68887,2.00505,1.65458,0.38334,0.39583,0.35156,0.117,0.42,0.39167,0.35124,0.09904,2.12242,2.21469,2.27264,1.73243,0.0055546,0.0055546,0.0055546
6,56.3455,2.13535,2.6754,2.064,1.66337,0.17016,0.1625,0.0691,0.02186,0.1147,0.125,0.04389,0.00884,2.46733,3.24797,2.80946,1.98517,0.00543575,0.00543575,0.00543575
7,64.9936,2.15053,2.66136,1.97805,1.63923,0.32762,0.42917,0.25226,0.09368,0.30889,0.4,0.23864,0.06552,2.15239,2.44479,2.519,1.67449,0.0053169,0.0053169,0.0053169
8,73.6207,2.06332,2.58261,1.9533,1.60068,0.22576,0.25,0.17217,0.07158,0.21824,0.24167,0.14347,0.03831,2.23884,2.43564,2.91201,1.74243,0.00519805,0.00519805,0.00519805
9,82.3671,2.10099,2.68803,1.93029,1.61335,0.44673,0.27917,0.27708,0.0955,0.43065,0.26667,0.24755,0.07102,2.36778,35.7065,3.13182,2.23497,0.0050792,0.0050792,0.0050792
10,91.0982,2.05263,2.52928,1.80129,1.5801,0.4581,0.39167,0.36326,0.13003,0.50086,0.3375,0.34077,0.09687,2.09009,2.28881,1.98995,1.64031,0.00496035,0.00496035,0.00496035
11,99.96,2.10953,2.57751,1.88892,1.63684,0.14912,0.5024,0.1151,0.04466,0.1399,0.45833,0.10427,0.02842,2.06129,63.8478,5.05511,1.87209,0.0048415,0.0048415,0.0048415
12,108.739,2.0991,2.7188,1.86091,1.65447,0.26142,0.3,0.16556,0.0626,0.27356,0.25833,0.14372,0.03646,2.01736,2.49486,2.75092,1.64811,0.00472265,0.00472265,0.00472265
13,117.733,2.03007,2.51852,1.8336,1.6059,0.45483,0.45538,0.39134,0.15985,0.39535,0.39583,0.3369,0.10698,1.86752,2.19136,1.80346,1.51268,0.0046038,0.0046038,0.0046038
14,126.525,1.93038,2.42989,1.73183,1.51979,0.39153,0.41557,0.32023,0.1401,0.39726,0.35701,0.30068,0.09999,2.23911,2.49017,2.25513,1.75797,0.00448495,0.00448495,0.00448495
15,135.081,1.99332,2.47224,1.79756,1.54458,0.39326,0.4625,0.40057,0.16219,0.34233,0.4,0.32925,0.10267,2.00648,2.23671,1.84474,1.58768,0.0043661,0.0043661,0.0043661
16,143.832,1.94542,2.3816,1.71562,1.53828,0.42297,0.47083,0.41406,0.15244,0.461,0.42083,0.37885,0.11076,2.02394,2.39395,1.89694,1.62632,0.00424725,0.00424725,0.00424725
17,152.798,1.97979,2.4819,1.8027,1.57339,0.48726,0.36667,0.34052,0.13982,0.46374,0.35417,0.35549,0.11757,1.94214,2.12942,1.91103,1.53729,0.0041284,0.0041284,0.0041284
18,161.53,1.93378,2.34318,1.66779,1.49506,0.50565,0.45417,0.41302,0.17566,0.51835,0.46667,0.40773,0.15563,1.81871,1.99113,1.57924,1.43893,0.00400955,0.00400955,0.00400955
19,170.251,1.82128,2.24666,1.56528,1.44458,0.47708,0.54167,0.51618,0.23636,0.55269,0.53028,0.51987,0.19437,1.70822,1.89199,1.73393,1.40384,0.0038907,0.0038907,0.0038907
20,179.154,1.823,2.25353,1.58379,1.47041,0.51778,0.40833,0.41089,0.17831,0.54715,0.4125,0.40961,0.14315,1.88769,2.31938,1.9844,1.55697,0.00377185,0.00377185,0.00377185
21,188.141,1.82778,2.30983,1.58358,1.45,0.4591,0.47917,0.41699,0.18383,0.4726,0.4966,0.42658,0.14671,1.81244,2.05521,2.01324,1.45864,0.003653,0.003653,0.003653
22,197.29,1.78415,2.24693,1.52251,1.42431,0.43928,0.57124,0.49798,0.23863,0.44387,0.51667,0.47171,0.1751,1.76208,1.89369,1.50343,1.42928,0.00353415,0.00353415,0.00353415
23,206.508,1.79766,2.1887,1.5234,1.45912,0.532,0.56667,0.55629,0.28123,0.53529,0.5375,0.51735,0.19137,1.70006,1.97542,1.52208,1.43346,0.0034153,0.0034153,0.0034153
24,215.346,1.75442,2.11272,1.48771,1.42251,0.57434,0.575,0.57942,0.30042,0.61237,0.5625,0.59683,0.23714,1.67191,1.83332,1.50073,1.37685,0.00329645,0.00329645,0.00329645
25,224.339,1.7388,2.18216,1.51003,1.41284,0.5551,0.54167,0.55319,0.25775,0.57198,0.51783,0.52578,0.18633,1.65741,1.93096,1.51675,1.37886,0.0031776,0.0031776,0.0031776
26,233.272,1.74034,2.15849,1.4471,1.40573,0.488,0.47083,0.45806,0.18113,0.42661,0.33333,0.33581,0.10322,1.99152,2.93871,1.89474,1.59752,0.00305875,0.00305875,0.00305875
27,242.196,1.7378,2.1398,1.46167,1.4136,0.55147,0.54583,0.53305,0.26693,0.56831,0.5625,0.54482,0.21768,1.74184,1.84081,1.53217,1.4095,0.0029399,0.0029399,0.0029399
28,251.05,1.73391,2.23932,1.54396,1.41772,0.50984,0.58333,0.60695,0.27759,0.61608,0.5125,0.6129,0.22657,1.71181,1.84288,1.45128,1.39235,0.00282105,0.00282105,0.00282105
29,260.051,1.74495,2.17317,1.46625,1.40422,0.65439,0.5125,0.58595,0.27318,0.61732,0.47917,0.52332,0.1801,1.73653,1.9281,1.49039,1.40787,0.0027022,0.0027022,0.0027022
30,269.092,1.67419,2.07334,1.41799,1.38764,0.64774,0.60417,0.65981,0.35246,0.67077,0.61121,0.65375,0.27866,1.60824,1.74546,1.43607,1.35086,0.00258335,0.00258335,0.00258335
31,278.251,1.66324,2.15993,1.40225,1.3698,0.57638,0.62083,0.6202,0.31721,0.63043,0.58333,0.62461,0.24016,1.69705,1.86827,1.39112,1.38745,0.0024645,0.0024645,0.0024645
32,287.3,1.67206,2.15913,1.43473,1.36284,0.61182,0.55833,0.62774,0.31554,0.65586,0.54167,0.61679,0.22757,1.68253,1.79802,1.39458,1.36709,0.00234565,0.00234565,0.00234565
33,296.113,1.64162,2.07714,1.36528,1.34855,0.62463,0.6125,0.61398,0.28304,0.62559,0.59874,0.61664,0.25423,1.60142,1.82818,1.39404,1.36021,0.0022268,0.0022268,0.0022268
34,304.998,1.62618,2.08863,1.34772,1.35859,0.63054,0.54583,0.59933,0.28593,0.61606,0.5125,0.54936,0.22251,1.76225,2.03219,1.54448,1.43493,0.00210795,0.00210795,0.00210795
35,314.18,1.6344,2.03042,1.36505,1.34255,0.50193,0.57526,0.56741,0.29026,0.48984,0.53609,0.53631,0.21421,1.70119,3.5626,1.46866,1.3665,0.0019891,0.0019891,0.0019891
36,323.381,1.6289,2.11901,1.35212,1.34918,0.65961,0.64594,0.67926,0.33983,0.68563,0.62702,0.68321,0.29023,1.67778,2.68799,1.33093,1.35371,0.00187025,0.00187025,0.00187025
37,332.503,1.63946,2.15772,1.37739,1.35208,0.62387,0.60833,0.63651,0.33008,0.65562,0.575,0.63187,0.25982,1.61437,1.81679,1.34636,1.32643,0.0017514,0.0017514,0.0017514
38,341.66,1.59826,2.05816,1.30793,1.32635,0.71415,0.61667,0.68196,0.35216,0.72324,0.60833,0.6673,0.27827,1.60642,1.79356,1.33061,1.32721,0.00163255,0.00163255,0.00163255
39,351.212,1.53935,1.96431,1.24644,1.28974,0.61723,0.65845,0.67963,0.36093,0.60716,0.64167,0.66298,0.27254,1.54486,1.79522,1.31055,1.28172,0.0015137,0.0015137,0.0015137
40,360.459,1.55121,2.01144,1.27953,1.2914,0.69857,0.63733,0.69294,0.37958,0.71099,0.62917,0.69594,0.31046,1.51712,1.69376,1.29257,1.28636,0.00139485,0.00139485,0.00139485
41,385.538,1.63363,1.97336,1.44848,1.4211,0.63056,0.61667,0.68335,0.37217,0.61895,0.60417,0.65357,0.26175,1.52201,1.83791,1.38373,1.27787,0.001276,0.001276,0.001276
42,394.386,1.61541,1.88963,1.39973,1.40937,0.7536,0.6375,0.70459,0.38406,0.76493,0.63726,0.69737,0.2987,1.49802,1.71129,1.28268,1.27807,0.00115715,0.00115715,0.00115715
43,403.352,1.60232,1.8621,1.36418,1.41573,0.75446,0.6375,0.71541,0.35544,0.78215,0.65833,0.73527,0.30276,1.52155,1.70505,1.22509,1.27371,0.0010383,0.0010383,0.0010383
44,412.207,1.54351,1.93116,1.29765,1.35962,0.7036,0.62917,0.68899,0.36856,0.7154,0.60417,0.66888,0.28047,1.62209,1.79115,1.33169,1.33395,0.000919446,0.000919446,0.000919446
45,421.193,1.52288,1.87029,1.26367,1.35199,0.70742,0.72917,0.75637,0.4228,0.74611,0.66121,0.74977,0.33754,1.44626,1.64107,1.17952,1.23816,0.000800596,0.000800596,0.000800596
46,429.997,1.50837,1.82873,1.2733,1.35102,0.7529,0.6375,0.75312,0.42142,0.76262,0.6375,0.74457,0.33218,1.48201,1.64578,1.21652,1.2466,0.000681746,0.000681746,0.000681746
47,438.58,1.49131,1.75301,1.24134,1.3497,0.78501,0.675,0.77054,0.43058,0.80194,0.64583,0.76282,0.35187,1.4308,1.62784,1.14508,1.2288,0.000562896,0.000562896,0.000562896
48,447.443,1.47698,1.8242,1.22945,1.33224,0.73682,0.72083,0.77083,0.45126,0.76921,0.69438,0.77083,0.35892,1.41833,1.62509,1.13919,1.22434,0.000444046,0.000444046,0.000444046
49,456.151,1.45088,1.81157,1.17269,1.30116,0.75478,0.71819,0.787,0.46146,0.77689,0.71091,0.78561,0.36461,1.41153,1.60012,1.12942,1.22063,0.000325195,0.000325195,0.000325195
50,465.179,1.43792,1.77734,1.17309,1.29791,0.74241,0.73255,0.78584,0.46006,0.74854,0.70701,0.76923,0.36422,1.41453,1.592,1.11464,1.20772,0.000206345,0.000206345,0.000206345
