epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4167,2.40234,3.46051,2.80961,1.76736,0.0474,0.05833,0.02101,0.00713,0.00156,0.00833,0.00084,8e-05,3.06907,13.467,4.52642,2.44831,0.0691291,0.00204051,0.00204051
2,20.6029,2.19942,3.02467,2.11923,1.62096,0.01794,0.0625,0.00717,0.00183,0.07639,0.01667,0.00997,0.00126,2.89008,4.4003,3.97982,2.52789,0.0377815,0.00402622,0.00402622
3,29.6988,2.23621,2.9165,2.19974,1.63803,0.13682,0.125,0.05488,0.0187,0.04238,0.10833,0.02044,0.00646,2.90397,3.96244,3.9845,2.45486,0.00635241,0.00593047,0.00593047
4,38.6715,2.16472,2.83393,2.09679,1.64595,0.1973,0.2875,0.11229,0.0362,0.15552,0.225,0.06966,0.01323,2.43252,3.01766,3.03229,1.92952,0.0058334,0.0058334,0.0058334
5,47.7476,2.23802,2.90551,2.08302,1.69844,0.37887,0.21667,0.2245,0.07574,0.31403,0.29947,0.24647,0.06563,2.26623,5.08656,2.36671,2.1095,0.0057112,0.0057112,0.0057112
6,56.9127,2.19319,2.80799,2.0644,1.717,0.3159,0.3375,0.248,0.07272,0.32499,0.34167,0.26818,0.07608,2.32585,2.42357,2.41542,2.12003,0.005589,0.005589,0.005589
7,66.1114,2.09344,2.62707,1.9668,1.63672,0.00944,0.45,0.00642,0.00229,0.00957,0.44167,0.00612,0.00179,2.45929,3.16393,52.3282,4.72163,0.0054668,0.0054668,0.0054668
8,75.8944,2.06541,2.58621,1.89458,1.60909,0.22208,0.12917,0.06199,0.01643,0.15392,0.06667,0.0285,0.00566,2.83208,3.76762,3.3536,2.16149,0.00534459,0.00534459,0.00534459
9,85.0007,2.0645,2.62793,1.8917,1.60564,0.26963,0.27917,0.2216,0.0861,0.32085,0.27083,0.24095,0.0675,2.1316,2.76151,2.25427,1.69759,0.00522239,0.00522239,0.00522239
10,93.886,1.97702,2.44391,1.79486,1.54791,0.47512,0.42083,0.39967,0.16423,0.51491,0.37594,0.38439,0.13897,2.05043,2.26328,1.94935,1.63624,0.00510019,0.00510019,0.00510019
11,102.894,2.05405,2.45257,1.79784,1.58081,0.4455,0.45417,0.39669,0.15941,0.4794,0.47083,0.42497,0.13483,1.9625,2.06143,1.9536,1.52785,0.00497799,0.00497799,0.00497799
12,111.881,1.99923,2.50205,1.81575,1.5484,0.52195,0.27917,0.30296,0.09221,0.51217,0.24167,0.26697,0.0841,2.22731,2.22681,2.70587,1.72067,0.00485579,0.00485579,0.00485579
13,120.665,1.98038,2.44015,1.79778,1.55481,0.34874,0.4875,0.36889,0.1515,0.44227,0.50417,0.38987,0.13933,1.89088,1.9491,1.9606,1.51814,0.00473359,0.00473359,0.00473359
14,129.371,1.91501,2.39365,1.71284,1.53893,0.4555,0.29583,0.26609,0.09178,0.51786,0.3,0.27012,0.07486,2.32056,2.75593,2.5356,1.8992,0.00461139,0.00461139,0.00461139
15,137.961,1.87893,2.33911,1.62993,1.47778,0.40265,0.40833,0.33763,0.14365,0.39443,0.4,0.32892,0.10627,2.19127,2.35369,2.12469,1.71444,0.00448919,0.00448919,0.00448919
16,146.646,1.90853,2.41602,1.69227,1.51118,0.56301,0.3375,0.37308,0.17415,0.54104,0.33893,0.35478,0.13014,2.03532,2.32179,1.91667,1.64341,0.00436699,0.00436699,0.00436699
17,155.598,1.93626,2.40578,1.71739,1.55871,0.43575,0.3375,0.27894,0.09967,0.37658,0.29167,0.2381,0.06352,2.2976,2.76955,2.67246,1.83049,0.00424479,0.00424479,0.00424479
18,164.374,1.87993,2.31809,1.63146,1.48395,0.45681,0.44167,0.3984,0.16764,0.44661,0.42917,0.37806,0.1332,2.00217,2.2235,1.76819,1.60787,0.00412259,0.00412259,0.00412259
19,173.379,1.83039,2.26495,1.55236,1.45565,0.48231,0.45417,0.41705,0.19146,0.51642,0.42083,0.42186,0.13486,1.90146,2.17199,1.77879,1.49616,0.00400039,0.00400039,0.00400039
20,182.321,1.81122,2.26952,1.54291,1.46339,0.50048,0.50096,0.50098,0.26865,0.4796,0.45833,0.46195,0.17918,1.80544,2.21788,1.67698,1.43021,0.00387819,0.00387819,0.00387819
21,191.489,1.78655,2.23453,1.53327,1.42721,0.57366,0.49583,0.49051,0.24478,0.5963,0.49583,0.48904,0.17153,1.80099,2.13364,1.77564,1.45863,0.00375598,0.00375598,0.00375598
22,200.287,1.81133,2.23685,1.49566,1.41386,0.50065,0.53333,0.51542,0.22512,0.48656,0.52122,0.49562,0.17598,1.91974,2.03378,1.53214,1.50727,0.00363378,0.00363378,0.00363378
23,209.028,1.77341,2.17687,1.48363,1.4273,0.67462,0.52083,0.55848,0.24207,0.67636,0.49635,0.5252,0.18714,1.80529,2.18775,1.54261,1.437,0.00351158,0.00351158,0.00351158
24,217.663,1.74791,2.12598,1.46519,1.41802,0.57668,0.50417,0.53648,0.24044,0.58302,0.49519,0.5293,0.19875,1.71523,1.99007,1.55755,1.40131,0.00338938,0.00338938,0.00338938
25,226.368,1.75495,2.18239,1.50326,1.41071,0.57533,0.44167,0.47947,0.21953,0.56929,0.44583,0.46824,0.16993,1.91689,2.20912,1.87692,1.49137,0.00326718,0.00326718,0.00326718
26,235.038,1.76554,2.22679,1.50591,1.4115,0.47926,0.55833,0.56067,0.29048,0.47413,0.51844,0.5402,0.19323,1.71834,1.99169,1.44078,1.3923,0.00314498,0.00314498,0.00314498
27,243.99,1.75245,2.15929,1.48509,1.42989,0.29442,0.40833,0.27362,0.08994,0.32826,0.40417,0.27089,0.07601,2.39559,3.10295,2.33798,2.01554,0.00302278,0.00302278,0.00302278
28,252.806,1.71647,2.26589,1.51472,1.41229,0.55431,0.54413,0.58544,0.30455,0.65918,0.49167,0.5963,0.23837,1.64447,1.87719,1.41404,1.36539,0.00290058,0.00290058,0.00290058
29,261.731,1.78674,2.19277,1.48539,1.41123,0.38921,0.4375,0.37015,0.148,0.42502,0.41887,0.3621,0.11823,2.20702,2.53778,1.9675,3.53985,0.00277838,0.00277838,0.00277838
30,271.129,1.7215,2.1419,1.46255,1.40359,0.56373,0.59583,0.58565,0.2799,0.59959,0.5875,0.59173,0.23864,1.70756,1.84335,1.42356,1.38414,0.00265618,0.00265618,0.00265618
31,280.297,1.69267,2.25817,1.48246,1.3817,0.66314,0.57917,0.64444,0.31471,0.66021,0.575,0.6409,0.26481,1.64461,1.85961,1.38237,1.35992,0.00253398,0.00253398,0.00253398
32,289.415,1.67395,2.24723,1.43919,1.36197,0.52369,0.63677,0.63077,0.31995,0.53871,0.61667,0.62774,0.28017,1.6039,1.73377,1.33637,1.30839,0.00241178,0.00241178,0.00241178
33,298.378,1.64078,2.14012,1.37451,1.34547,0.65665,0.65417,0.67746,0.3297,0.65665,0.65417,0.67255,0.26673,1.58879,1.81964,1.34706,1.31618,0.00228958,0.00228958,0.00228958
34,307.416,1.66643,2.11979,1.38773,1.38921,0.61671,0.6436,0.65822,0.3417,0.61719,0.63148,0.64552,0.28193,1.58179,1.79866,1.39316,1.3072,0.00216737,0.00216737,0.00216737
35,316.563,1.60761,2.02203,1.34903,1.3455,0.51713,0.53333,0.56799,0.30873,0.49479,0.52083,0.53975,0.23873,1.6768,1.92778,1.42271,1.35099,0.00204517,0.00204517,0.00204517
36,325.58,1.59642,2.09244,1.28892,1.32531,0.61333,0.69167,0.66379,0.35163,0.63957,0.675,0.6946,0.30304,1.5227,1.75599,1.26858,1.2956,0.00192297,0.00192297,0.00192297
37,334.027,1.63874,2.15956,1.37216,1.35635,0.6901,0.58455,0.65073,0.35897,0.7032,0.57083,0.63966,0.2819,1.5525,1.867,1.37417,1.27286,0.00180077,0.00180077,0.00180077
38,342.65,1.59732,2.02528,1.31506,1.33409,0.66236,0.60486,0.67041,0.36327,0.66862,0.60833,0.64912,0.27983,1.56219,1.85672,1.281,1.2916,0.00167857,0.00167857,0.00167857
39,351.689,1.53824,1.961,1.25292,1.29976,0.62162,0.60923,0.63543,0.33162,0.63229,0.59468,0.62619,0.23353,1.5493,1.95395,1.35897,1.29744,0.00155637,0.00155637,0.00155637
40,360.795,1.54637,1.99405,1.27434,1.29061,0.63807,0.6,0.61186,0.31814,0.63199,0.61538,0.62055,0.27408,1.57665,1.84026,1.35107,1.39106,0.00143417,0.00143417,0.00143417
41,384.57,1.63523,1.97027,1.39719,1.42799,0.66957,0.575,0.64739,0.36732,0.64557,0.55833,0.61793,0.25739,1.4953,1.88412,1.42522,1.26021,0.00131197,0.00131197,0.00131197
