epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0832,2.30582,3.25741,2.63821,1.70066,0.07852,0.1375,0.04185,0.01279,0.05881,0.12083,0.02226,0.00462,2.57176,8.94521,2.94919,2.13087,0.0686486,0.00156,0.00156
2,38.1568,2.03546,2.81969,1.93274,1.50879,0.29073,0.2375,0.17308,0.07216,0.19149,0.22083,0.09918,0.02407,2.41316,3.29359,2.80688,1.74801,0.0368331,0.00307783,0.00307783
3,47.0218,2.12744,2.73686,2.07095,1.57564,0.37643,0.32448,0.26139,0.08887,0.32773,0.27917,0.24697,0.06421,2.20427,3.71042,2.00013,1.73882,0.00495503,0.00453309,0.00453309
4,55.8912,1.97767,2.58209,1.81304,1.49505,0.35369,0.3875,0.33867,0.13473,0.29671,0.4,0.28327,0.08026,1.93727,5.63162,1.84717,1.57066,0.00445844,0.00445844,0.00445844
5,65.1727,2.08239,2.62837,1.92256,1.55303,0.36157,0.3375,0.23144,0.07591,0.42004,0.25,0.20379,0.05655,2.23134,2.84426,2.34363,1.68316,0.00436459,0.00436459,0.00436459
6,74.0088,2.03735,2.48525,1.85581,1.5203,0.43699,0.43982,0.41128,0.16388,0.35469,0.38247,0.36432,0.12799,2.06215,2.41942,1.89721,1.52672,0.00427074,0.00427074,0.00427074
7,86.4816,1.9951,2.52803,1.7805,1.49882,0.36198,0.49583,0.35617,0.15042,0.41633,0.45769,0.36259,0.14167,1.88982,2.2285,1.89638,1.47555,0.00417689,0.00417689,0.00417689
8,107.195,1.96707,2.4834,1.84598,1.54395,0.53674,0.37083,0.35774,0.14234,0.5339,0.375,0.35131,0.1085,2.0008,2.38584,2.0147,1.57265,0.00408304,0.00408304,0.00408304
9,116.169,1.88094,2.47589,1.70502,1.49609,0.38107,0.375,0.32344,0.13735,0.31611,0.35417,0.27139,0.08634,2.19714,2.63335,2.39412,1.70902,0.00398918,0.00398918,0.00398918
10,124.686,2.02172,2.4576,1.72822,1.55166,0.35441,0.39344,0.30675,0.11215,0.29214,0.27083,0.22069,0.06148,2.08531,21.3873,2.33495,1.97819,0.00389533,0.00389533,0.00389533
11,133.372,1.89117,2.36484,1.718,1.48246,0.42137,0.46121,0.37842,0.15852,0.47878,0.47917,0.41125,0.13477,1.91709,2.05977,2.16399,1.48199,0.00380148,0.00380148,0.00380148
12,142.064,1.87086,2.45162,1.67176,1.4534,0.41367,0.3875,0.33771,0.14529,0.4216,0.34623,0.31913,0.1041,1.92839,2.18516,1.9585,1.53309,0.00370763,0.00370763,0.00370763
13,150.601,1.82083,2.32868,1.62166,1.41183,0.4704,0.4625,0.47262,0.2123,0.44602,0.475,0.48367,0.19812,1.96528,2.01959,1.69994,1.46471,0.00361378,0.00361378,0.00361378
14,159.282,1.79702,2.2367,1.56094,1.41042,0.41361,0.52083,0.44656,0.19528,0.46746,0.4625,0.44381,0.15768,1.83063,1.9923,1.70083,1.36981,0.00351992,0.00351992,0.00351992
15,168.025,1.84967,2.34192,1.6322,1.40887,0.58259,0.53504,0.54683,0.26282,0.58665,0.5204,0.54089,0.22111,1.74078,1.97254,1.57575,1.35843,0.00342607,0.00342607,0.00342607
16,176.68,1.80297,2.19525,1.5567,1.42764,0.5063,0.45294,0.45263,0.20005,0.49836,0.44583,0.42423,0.15453,1.93117,2.23399,1.76837,1.52683,0.00333222,0.00333222,0.00333222
17,185.378,1.83127,2.29034,1.60763,1.46516,0.49274,0.51667,0.44807,0.20987,0.49555,0.48299,0.42623,0.15316,1.74861,1.97746,1.63819,1.36799,0.00323837,0.00323837,0.00323837
18,194.074,1.79429,2.16175,1.50622,1.41406,0.51925,0.54583,0.49391,0.2376,0.51015,0.56667,0.49695,0.18982,1.72251,1.99324,1.58788,1.35149,0.00314452,0.00314452,0.00314452
19,202.644,1.77168,2.18205,1.51992,1.40639,0.5763,0.51667,0.54344,0.28473,0.58062,0.50764,0.53576,0.21033,1.65434,1.89656,1.55739,1.29993,0.00305066,0.00305066,0.00305066
20,211.201,1.72748,2.13973,1.46462,1.38111,0.50761,0.61856,0.56895,0.27135,0.50123,0.575,0.47168,0.16105,1.79985,1.97146,1.43597,1.40564,0.00295681,0.00295681,0.00295681
21,219.862,1.70253,2.17769,1.43702,1.36464,0.739,0.6,0.68676,0.3198,0.74574,0.56217,0.64927,0.25533,1.60444,1.8608,1.35464,1.32609,0.00286296,0.00286296,0.00286296
22,228.474,1.69305,2.1141,1.43119,1.34379,0.56488,0.59167,0.6008,0.31147,0.57875,0.575,0.60031,0.25263,1.62867,1.81725,1.41035,1.34359,0.00276911,0.00276911,0.00276911
23,237.14,1.61708,2.08758,1.37459,1.32576,0.63586,0.52083,0.60434,0.29784,0.63864,0.55965,0.59973,0.22246,1.6725,1.97452,1.40411,1.3533,0.00267526,0.00267526,0.00267526
24,245.927,1.66592,2.06752,1.41793,1.34456,0.61037,0.55481,0.64577,0.33969,0.6772,0.5375,0.60918,0.24688,1.64685,2.04567,1.38895,1.33862,0.0025814,0.0025814,0.0025814
25,254.517,1.65889,2.11733,1.42559,1.35485,0.6339,0.5625,0.63335,0.32965,0.58721,0.58333,0.59661,0.24708,1.61103,1.9263,1.32448,1.26892,0.00248755,0.00248755,0.00248755
26,263.363,1.58275,2.06104,1.32798,1.3093,0.60224,0.62083,0.61536,0.33804,0.59416,0.6125,0.59239,0.24698,1.58227,1.84429,1.32292,1.24915,0.0023937,0.0023937,0.0023937
27,272.351,1.57949,1.99359,1.31217,1.29294,0.63655,0.65,0.66605,0.36368,0.6469,0.66414,0.68169,0.27401,1.60291,1.72238,1.33233,1.21517,0.00229985,0.00229985,0.00229985
