epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6378,2.3476,3.34651,2.6828,1.72653,0.0202,0.025,0.00284,0.00077,0.00788,0.0125,0.00074,0.00021,3.34837,58.2672,5.36456,8.35361,0.0688197,0.00173114,0.00173114
2,20.4292,2.14079,2.94186,2.05553,1.57462,0.17052,0.04167,0.02592,0.00848,0.17154,0.0375,0.01762,0.0045,2.78069,4.54418,6.7345,2.12174,0.0371708,0.00341548,0.00341548
3,29.8945,2.25785,3.0222,2.26895,1.67212,0.19711,0.3625,0.13175,0.04118,0.19955,0.27083,0.11171,0.03112,2.18893,2.96435,2.73974,1.71535,0.00545233,0.00503039,0.00503039
4,38.6468,2.13005,2.75333,2.05978,1.62999,0.04774,0.375,0.0339,0.01222,0.04324,0.3875,0.02573,0.00568,2.23957,5.75744,31.1058,1.82709,0.00494756,0.00494756,0.00494756
5,47.6029,2.21013,2.76619,2.02537,1.66024,0.11317,0.04167,0.01479,0.00447,0.10462,0.03333,0.01039,0.00229,3.95398,inf,5.25725,105.723,0.00484341,0.00484341,0.00484341
6,56.1784,2.11959,2.79508,1.99701,1.64204,0.23329,0.27083,0.10484,0.03564,0.20696,0.22083,0.08451,0.02142,2.35677,3.4818,2.55402,1.83708,0.00473926,0.00473926,0.00473926
7,64.8729,2.11479,2.77207,1.97736,1.62135,0.44,0.3375,0.29215,0.1075,0.41855,0.34167,0.29793,0.07943,2.21505,3.01078,2.25091,1.66876,0.00463511,0.00463511,0.00463511
8,73.8128,2.06293,2.68967,1.90924,1.60618,0.36872,0.31667,0.27033,0.10583,0.43408,0.30833,0.28507,0.0922,2.06469,2.17906,2.2725,1.5699,0.00453096,0.00453096,0.00453096
9,82.8507,2.0527,2.59558,1.80943,1.57325,0.42849,0.42083,0.33606,0.13372,0.40779,0.39583,0.31106,0.08794,2.09802,2.3553,1.8329,1.57323,0.00442682,0.00442682,0.00442682
10,91.7137,2.02549,2.47305,1.77297,1.56937,0.46682,0.35417,0.34252,0.11916,0.4885,0.39583,0.33446,0.09393,2.11472,2.37853,2.41981,1.65927,0.00432267,0.00432267,0.00432267
11,100.947,1.95626,2.45217,1.74901,1.53956,0.38277,0.50417,0.40893,0.17484,0.36793,0.47917,0.38671,0.13317,1.87638,2.05421,1.75262,1.493,0.00421852,0.00421852,0.00421852
12,110.321,1.88416,2.39359,1.65706,1.48245,0.43191,0.475,0.40854,0.15937,0.42622,0.43023,0.37467,0.11584,1.90972,2.09183,2.19298,1.48096,0.00411437,0.00411437,0.00411437
13,119.523,1.8689,2.33294,1.66469,1.46993,0.5547,0.47917,0.48388,0.21788,0.55142,0.47633,0.45685,0.16265,1.80166,1.99416,1.79646,1.47029,0.00401022,0.00401022,0.00401022
14,128.614,1.87057,2.31766,1.69471,1.49303,0.43083,0.43333,0.41332,0.17467,0.4353,0.425,0.42281,0.15532,1.93276,1.93461,1.68082,1.59376,0.00390608,0.00390608,0.00390608
15,137.883,1.89741,2.35278,1.70058,1.4788,0.52065,0.44167,0.46979,0.21403,0.5331,0.44167,0.46736,0.17667,1.83852,1.985,1.54149,1.50151,0.00380193,0.00380193,0.00380193
16,146.995,1.81795,2.20684,1.59533,1.46442,0.49795,0.57031,0.50023,0.23169,0.51849,0.54167,0.49385,0.1829,1.87831,1.93253,1.52851,1.50328,0.00369778,0.00369778,0.00369778
17,155.905,1.84998,2.38528,1.67916,1.47916,0.44638,0.41667,0.35088,0.14125,0.4871,0.40833,0.38012,0.12342,1.93125,2.22125,2.26409,1.51664,0.00359363,0.00359363,0.00359363
18,164.655,1.82951,2.28921,1.59121,1.44892,0.51871,0.45,0.4996,0.22842,0.60539,0.39167,0.50161,0.17609,1.82792,2.03156,1.61079,1.41951,0.00348948,0.00348948,0.00348948
19,173.438,1.81241,2.29334,1.56457,1.43767,0.40237,0.3,0.31103,0.12025,0.31748,0.2875,0.24818,0.06129,2.12828,2.61807,2.00977,1.70268,0.00338534,0.00338534,0.00338534
20,182.351,1.78616,2.22516,1.52526,1.42451,0.42469,0.57917,0.48443,0.23249,0.45603,0.59167,0.50939,0.19651,1.77572,1.87248,1.46355,1.3806,0.00328119,0.00328119,0.00328119
21,191.093,1.79125,2.29924,1.51808,1.38893,0.52677,0.53333,0.54482,0.24549,0.66971,0.43333,0.54455,0.19947,1.76912,1.91134,1.51436,1.34967,0.00317704,0.00317704,0.00317704
22,199.596,1.84439,2.27796,1.57456,1.42987,0.47547,0.52122,0.48919,0.19697,0.48212,0.475,0.46133,0.15228,1.89391,2.20356,1.679,1.44842,0.00307289,0.00307289,0.00307289
23,208.266,1.68288,2.18351,1.43845,1.36883,0.55391,0.63121,0.63776,0.30985,0.70438,0.51667,0.65886,0.26386,1.62028,1.88827,1.60154,1.30705,0.00296874,0.00296874,0.00296874
24,217.16,1.68469,2.11926,1.3987,1.3491,0.64963,0.525,0.60169,0.29454,0.63691,0.51163,0.56881,0.23368,1.71845,1.89939,1.43483,1.3683,0.0028646,0.0028646,0.0028646
25,226.453,1.68489,2.1542,1.43125,1.35677,0.56518,0.58333,0.59921,0.28319,0.53745,0.55833,0.51654,0.19234,1.6737,2.01543,1.40284,1.32623,0.00276045,0.00276045,0.00276045
26,235.619,1.65686,2.08337,1.40821,1.35831,0.56307,0.55833,0.61129,0.32171,0.54162,0.6625,0.61975,0.24956,1.64584,1.70954,1.34523,1.31121,0.0026563,0.0026563,0.0026563
27,244.677,1.69988,2.10147,1.40382,1.37426,0.59288,0.55,0.57813,0.25669,0.65292,0.5875,0.61939,0.2286,1.76961,1.82969,1.57429,1.40668,0.00255215,0.00255215,0.00255215
28,253.754,1.67005,2.16281,1.41306,1.3628,0.56475,0.58333,0.61318,0.31029,0.54263,0.5875,0.58014,0.23733,1.63461,1.82846,1.38705,1.32701,0.002448,0.002448,0.002448
29,262.733,1.68592,2.16171,1.39885,1.35169,0.68159,0.4875,0.57223,0.28521,0.69105,0.4875,0.56405,0.225,1.72925,1.77434,1.56222,1.3333,0.00234386,0.00234386,0.00234386
30,271.625,1.69618,2.09839,1.39365,1.36639,0.56716,0.62241,0.62962,0.31888,0.60055,0.6,0.61834,0.2415,1.65623,1.80043,1.35308,1.3304,0.00223971,0.00223971,0.00223971
31,280.526,1.5974,2.13972,1.4035,1.32336,0.65816,0.54167,0.65135,0.33599,0.75462,0.55101,0.67683,0.28351,1.62191,1.71239,1.32116,1.30178,0.00213556,0.00213556,0.00213556
32,289.518,1.63888,2.14298,1.38949,1.33729,0.69512,0.62917,0.68427,0.35325,0.67641,0.60968,0.6695,0.27091,1.59275,1.79744,1.32741,1.28631,0.00203141,0.00203141,0.00203141
33,298.404,1.56,1.98521,1.32865,1.30053,0.75124,0.65417,0.73149,0.37037,0.75358,0.66259,0.73294,0.29963,1.58585,1.7315,1.22167,1.28039,0.00192726,0.00192726,0.00192726
34,307.077,1.53433,2.03402,1.28325,1.30747,0.5933,0.59583,0.60411,0.32806,0.59421,0.6,0.59463,0.25882,1.51514,1.75008,1.25204,1.24286,0.00182312,0.00182312,0.00182312
35,316.04,1.57441,1.98436,1.28988,1.30564,0.62142,0.72497,0.69617,0.37173,0.65887,0.676,0.70299,0.29179,1.48844,1.64907,1.18463,1.20848,0.00171897,0.00171897,0.00171897
36,324.828,1.52091,2.04215,1.26673,1.2839,0.65134,0.70054,0.69377,0.37799,0.62695,0.7,0.69573,0.29252,1.48396,1.73287,1.19291,1.24128,0.00161482,0.00161482,0.00161482
37,333.574,1.59661,2.11169,1.31155,1.31984,0.6507,0.69167,0.70575,0.35073,0.64954,0.69167,0.70714,0.30703,1.5887,1.69256,1.21129,1.28603,0.00151067,0.00151067,0.00151067
