epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8147,2.33019,3.30116,2.65521,1.69723,0.13288,0.17917,0.06747,0.02268,0.10153,0.13333,0.03611,0.00838,2.50723,3.32395,2.83779,2.12016,0.0691192,0.00203063,0.00203063
2,19.7229,2.0665,2.80729,1.99193,1.54952,0.10217,0.05833,0.02823,0.0067,0.12392,0.04583,0.01671,0.00292,3.59522,8.27554,4.66834,4.97932,0.0377617,0.00400641,0.00400641
3,28.4188,2.19545,2.82455,2.08918,1.6389,0.26146,0.1625,0.1337,0.04462,0.25593,0.1625,0.10743,0.02628,2.3692,5.41698,2.55358,2.0538,0.00632271,0.00590077,0.00590077
4,37.1314,2.21329,2.91926,2.04314,1.67892,0.23266,0.15833,0.0871,0.03095,0.14182,0.19583,0.07314,0.02204,2.61167,29.0366,11.7212,5.48087,0.00580366,0.00580366,0.00580366
5,46.3217,2.11855,2.81296,1.93865,1.60491,0.00417,0.41667,0.00333,0.00111,0.00293,0.29167,0.00167,0.00042,2.66171,4.60688,114.218,3.44381,0.00568155,0.00568155,0.00568155
6,55.3309,2.08661,2.68841,1.89432,1.57648,0.32338,0.25091,0.16889,0.05665,0.29036,0.2125,0.14106,0.04116,2.49115,3.87712,3.41753,1.92269,0.00555944,0.00555944,0.00555944
7,64.4474,2.05196,2.5966,1.81894,1.5523,0.37031,0.31855,0.26438,0.10129,0.33131,0.32917,0.24123,0.07545,2.18851,2.48082,2.30452,1.65064,0.00543733,0.00543733,0.00543733
8,73.7055,1.94507,2.47855,1.7707,1.52983,0.53034,0.42083,0.41266,0.18438,0.56038,0.41667,0.42279,0.14713,1.88406,2.06534,1.59986,1.53814,0.00531522,0.00531522,0.00531522
9,82.5287,1.93391,2.46489,1.72586,1.49072,0.40634,0.43333,0.38728,0.15322,0.44211,0.37313,0.37805,0.12866,2.04322,2.24045,1.91726,1.63662,0.00519311,0.00519311,0.00519311
10,91.0894,2.06585,2.5838,1.82868,1.58146,0.44687,0.33333,0.34383,0.15057,0.46818,0.37047,0.33044,0.09846,2.08883,2.26663,1.90281,1.63158,0.00507099,0.00507099,0.00507099
11,99.8452,1.99638,2.45132,1.86792,1.56157,0.30501,0.34583,0.23737,0.1002,0.27936,0.34583,0.20665,0.06009,2.19097,2.54017,2.04348,1.72554,0.00494888,0.00494888,0.00494888
12,108.589,1.8692,2.37469,1.6867,1.46507,0.42179,0.4125,0.36388,0.13546,0.4386,0.41667,0.34972,0.09816,2.00057,2.31829,1.78394,1.57255,0.00482677,0.00482677,0.00482677
13,117.251,1.92303,2.3703,1.69343,1.49523,0.22557,0.35,0.24159,0.1055,0.28537,0.4375,0.30905,0.10905,1.93925,2.15043,2.2768,1.56344,0.00470466,0.00470466,0.00470466
14,126.094,1.88614,2.29989,1.68312,1.49346,0.33925,0.45995,0.34613,0.14517,0.33573,0.4375,0.3327,0.11163,1.91176,2.20853,1.75996,1.5214,0.00458255,0.00458255,0.00458255
15,134.956,1.90978,2.36178,1.69696,1.49532,0.35701,0.3625,0.28874,0.11216,0.36534,0.30417,0.25447,0.07913,2.02678,2.57454,2.16861,1.64757,0.00446044,0.00446044,0.00446044
