epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.612,2.53363,3.72425,2.99787,1.85198,0.00632,0.02917,0.00059,0.0002,0.00271,0.0125,0.00021,6e-05,nan,nan,nan,nan,0.0705114,0.00342278,0.00342278
2,20.1903,2.40787,3.16043,2.45391,1.79266,0.08223,0.19167,0.0405,0.0114,0.08724,0.10833,0.02846,0.00634,2.9923,56.4961,6.96754,7.66583,0.0405084,0.00675309,0.00675309
3,29.0524,2.51841,3.23875,2.51195,1.91051,0.10913,0.08333,0.03458,0.00835,0.04194,0.02917,0.00609,0.00141,2.77961,3.63868,4.61861,2.29461,0.0103681,0.00994616,0.00994616
4,38.0016,2.41121,3.11208,2.35646,1.88363,0.19454,0.20833,0.09924,0.03113,0.19866,0.20833,0.0947,0.02223,2.80227,5.13731,4.03757,2.27713,0.00978246,0.00978246,0.00978246
5,46.9393,2.48238,3.23771,2.44383,1.90878,0.00955,0.08333,0.00201,0.00055,0.00411,0.04167,0.00078,0.00017,3.90382,36.2812,14.801,3.64356,0.00957662,0.00957662,0.00957662
6,55.7407,2.47568,4.0216,2.47169,1.97469,0.13206,0.22083,0.06619,0.01874,0.08701,0.1,0.0228,0.00495,2.94701,4.95605,3.41747,2.43262,0.00937077,0.00937077,0.00937077
7,64.5966,2.34374,2.96215,2.25448,1.84446,0.22417,0.16667,0.07797,0.02374,0.20894,0.15,0.08799,0.01959,3.31659,inf,3.21015,23.9248,0.00916493,0.00916493,0.00916493
8,73.6929,2.3408,3.06732,2.25514,1.90654,0.18943,0.1875,0.08387,0.0258,0.13891,0.1375,0.04786,0.01169,2.63661,3.20995,2.9591,2.11709,0.00895908,0.00895908,0.00895908
9,82.6405,2.35264,3.02524,2.2224,1.88294,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00875324,0.00875324,0.00875324
10,91.4712,2.26952,2.72135,2.08459,1.79392,0.29266,0.33333,0.2169,0.07489,0.2677,0.2875,0.18312,0.04653,2.20595,2.40513,2.27209,1.79759,0.00854739,0.00854739,0.00854739
11,100.539,2.36145,2.81979,2.19418,1.90087,0.00228,0.04167,0.00077,0.00031,0.00055,0.05,0.00037,8e-05,3.2326,4.24383,4.9918,2.52032,0.00834155,0.00834155,0.00834155
12,109.338,2.3284,3.15364,2.175,1.88356,0.14759,0.2875,0.12235,0.04756,0.24113,0.27917,0.15802,0.04323,2.45351,7.04926,3.90744,2.08918,0.0081357,0.0081357,0.0081357
13,118.155,2.21227,2.78451,2.07151,1.79149,0.23694,0.29167,0.17578,0.06135,0.26761,0.34167,0.18958,0.04702,2.3801,238.98,2.19072,3.5279,0.00792986,0.00792986,0.00792986
14,126.842,2.21502,2.71514,2.06843,1.82442,0.19911,0.24583,0.17109,0.05872,0.20221,0.19538,0.13447,0.03754,2.47491,3.03081,2.41742,1.98031,0.00772401,0.00772401,0.00772401
15,135.665,2.19935,2.61849,2.02236,1.76646,0.29235,0.35,0.24187,0.07108,0.31122,0.325,0.21708,0.06438,2.34882,2.58541,2.10968,1.93424,0.00751817,0.00751817,0.00751817
16,144.474,2.08706,2.45747,1.888,1.71916,0.29558,0.275,0.21698,0.07412,0.41525,0.22785,0.19984,0.06904,2.43698,2.35441,3.17468,1.94641,0.00731232,0.00731232,0.00731232
