epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7649,2.43608,3.55269,2.81781,1.76142,0.00018,0.04583,0.0001,2e-05,3e-05,0.00833,2e-05,0,3.62234,21.8952,60.8771,5.49805,0.0697281,0.00263949,0.00263949
2,20.0264,2.29101,3.11611,2.28693,1.69056,0.07634,0.05,0.02243,0.00718,0.08173,0.02083,0.00476,0.00119,3.58623,359.773,9.18636,16.5574,0.0389629,0.00520763,0.00520763
3,29.6298,2.43475,3.01432,2.37473,1.79819,0.09266,0.19583,0.0516,0.01498,0.09983,0.20417,0.05016,0.01105,2.68991,2.85581,6.10974,2.20042,0.00809185,0.00766991,0.00766991
4,38.4861,2.34158,4.50305,2.28891,1.77664,0.00152,0.06667,0.00042,0.00011,2e-05,0.00417,1e-05,0,3.87863,inf,14.8423,19.5079,0.00754361,0.00754361,0.00754361
5,47.7365,2.48586,3.95669,2.4806,1.94274,0.00329,0.025,0.00095,0.00022,0.00011,0.02917,6e-05,2e-05,3.96124,inf,204.241,21.2117,0.00738482,0.00738482,0.00738482
6,56.7883,2.57084,4.55366,2.57482,2.034,0.00038,0.09583,0.00022,5e-05,0.00038,0.09583,0.00023,7e-05,3.81104,5.24283,10.6148,7.42721,0.00722602,0.00722602,0.00722602
7,65.8808,2.43244,3.38737,2.31551,1.88338,0.06734,0.11667,0.01579,0.00378,0.04638,0.07917,0.00854,0.00169,3.11957,4.27207,3.57693,2.65613,0.00706722,0.00706722,0.00706722
8,75.1766,2.40666,3.13401,2.27926,1.87382,0.1943,0.3625,0.18955,0.0646,0.21863,0.32083,0.1624,0.04307,2.32299,2.90067,2.53449,1.9064,0.00690843,0.00690843,0.00690843
9,84.2683,2.29882,2.8856,2.1603,1.82537,0.28476,0.29167,0.2136,0.08106,0.32955,0.325,0.25523,0.0652,2.32778,2.445,2.21888,1.83211,0.00674963,0.00674963,0.00674963
10,93.3165,2.24856,2.76947,2.11367,1.77444,0.31282,0.27083,0.24558,0.07839,0.32524,0.275,0.25466,0.05669,2.27569,2.49805,2.15395,1.87299,0.00659084,0.00659084,0.00659084
11,102.648,2.23601,2.62476,2.04857,1.78251,0.27093,0.25417,0.15921,0.03978,0.23639,0.225,0.1234,0.02905,2.48017,2.79503,3.3176,2.0871,0.00643204,0.00643204,0.00643204
12,111.618,2.18081,2.87217,2.03429,1.74301,0.2852,0.34081,0.22694,0.07796,0.3052,0.3258,0.2135,0.06954,2.2119,2.31013,2.61612,1.79446,0.00627324,0.00627324,0.00627324
13,120.291,2.12021,2.65327,1.9453,1.67161,0.37098,0.32083,0.23795,0.08063,0.37064,0.25,0.23837,0.06571,2.32066,2.42709,2.00929,1.85022,0.00611445,0.00611445,0.00611445
14,128.795,2.14936,2.61371,1.99759,1.72188,0.32192,0.37917,0.24483,0.07654,0.35524,0.32083,0.24164,0.06189,2.19052,2.4314,2.01507,1.75538,0.00595565,0.00595565,0.00595565
15,137.32,2.19969,2.62234,2.02348,1.72979,0.31322,0.33333,0.26646,0.09789,0.3485,0.30833,0.26124,0.086,2.07862,2.24421,2.0364,1.76994,0.00579686,0.00579686,0.00579686
16,145.93,2.06113,2.54903,1.88216,1.67627,0.26271,0.15,0.10376,0.03215,0.2919,0.16667,0.11709,0.02553,2.57185,3.10226,3.30659,2.04106,0.00563806,0.00563806,0.00563806
17,154.624,2.08508,2.55393,1.89878,1.67344,0.42955,0.33333,0.30958,0.12985,0.47817,0.29167,0.302,0.09575,2.05135,2.3245,1.96066,1.7031,0.00547926,0.00547926,0.00547926
18,163.361,2.07563,2.44582,1.82686,1.6318,0.3832,0.375,0.27126,0.09811,0.39249,0.35833,0.28647,0.08395,2.14717,2.29186,1.96867,1.68875,0.00532047,0.00532047,0.00532047
