epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8478,2.4198,3.66791,2.77013,1.78175,0.0404,0.125,0.01677,0.00415,0.02557,0.0875,0.0085,0.00163,2.82956,4.34758,4.38406,2.51205,0.0693891,0.00230051,0.00230051
2,20.0997,2.1653,3.13104,2.15449,1.60771,0.00812,0.3125,0.00522,0.00175,0.00489,0.2125,0.00226,0.00057,2.91557,27.3101,68.4644,2.95015,0.0382943,0.00453901,0.00453901
3,29.112,2.33844,3.15655,2.31832,1.74903,0.21741,0.225,0.14149,0.04113,0.21325,0.19583,0.10246,0.02893,2.58311,3.28888,4.32214,2.02688,0.00710738,0.00668544,0.00668544
4,37.9119,2.33295,2.91889,2.25804,1.83769,0.19673,0.1375,0.10191,0.02766,0.11347,0.24167,0.06654,0.01223,2.52552,2.94127,3.22028,2.02815,0.00657565,0.00657565,0.00657565
5,47.1525,2.20781,2.83959,2.0782,1.70004,0.20898,0.24583,0.13173,0.04271,0.14213,0.20833,0.07355,0.01566,2.54634,3.02421,2.65484,2.02536,0.00643754,0.00643754,0.00643754
6,56.1497,2.2596,2.83812,2.1048,1.73032,0.24694,0.3125,0.19003,0.06321,0.25315,0.30833,0.1796,0.0571,2.24179,2.63319,5.97477,1.82797,0.00629942,0.00629942,0.00629942
7,65.1215,2.25699,2.81696,2.0622,1.74246,0.10929,0.15417,0.04341,0.01404,0.07353,0.0875,0.02253,0.00506,2.65542,2.97849,3.59211,2.08755,0.00616131,0.00616131,0.00616131
8,73.7637,2.09968,2.68849,1.98083,1.65518,0.4185,0.35417,0.33957,0.12704,0.39388,0.33333,0.30264,0.0697,2.19577,2.72226,2.06102,1.66552,0.00602319,0.00602319,0.00602319
9,82.6717,2.08207,2.57039,1.86862,1.64046,0.3557,0.425,0.32914,0.14226,0.36347,0.44583,0.32694,0.10432,2.04157,2.17504,1.88966,1.6455,0.00588508,0.00588508,0.00588508
10,91.3354,2.18039,2.6866,1.94706,1.69939,0.17414,0.09583,0.04736,0.01806,0.17886,0.08333,0.03898,0.01052,2.97012,11.0096,3.46677,3.73237,0.00574696,0.00574696,0.00574696
