epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.321,2.40939,3.44901,2.76652,1.76264,0.0521,0.05833,0.01614,0.00475,0.0574,0.03333,0.0103,0.00299,3.0842,7.77085,3.86507,2.32312,0.0693957,0.00230709,0.00230709
2,20.6997,2.24557,3.07466,2.21441,1.65756,0.02035,0.025,0.00419,0.00122,0.00576,0.0125,0.00042,0.00012,3.79814,231.898,8.72845,38.0557,0.0383074,0.00455209,0.00455209
3,29.9304,2.32765,2.99941,2.26272,1.72089,0.1269,0.1125,0.06847,0.01549,0.13887,0.05,0.03774,0.00871,2.93859,4.5708,2.92932,2.54272,0.00712678,0.00670484,0.00670484
4,38.9503,2.36214,3.06177,2.22379,1.85,0.25436,0.2125,0.13606,0.04538,0.23662,0.14207,0.0876,0.01933,2.65262,3.47922,2.76499,2.19916,0.00659487,0.00659487,0.00659487
5,48.0138,2.27522,2.98356,2.13354,1.75791,0.0684,0.25,0.04061,0.01417,0.04527,0.15417,0.01467,0.00258,2.78801,5.88543,5.35221,3.75584,0.0064565,0.0064565,0.0064565
6,56.8434,2.24563,2.81095,2.12568,1.74427,0.13198,0.24583,0.07565,0.02527,0.08422,0.14583,0.04328,0.011,2.88264,3.35711,2.77255,2.23732,0.00631812,0.00631812,0.00631812
7,65.6578,2.19801,2.80482,2.00239,1.68105,0.34988,0.25339,0.2398,0.07299,0.34708,0.25029,0.21448,0.04844,2.30987,2.59006,2.09736,1.74348,0.00617974,0.00617974,0.00617974
8,74.4557,2.1935,2.78941,1.99656,1.71477,0.31053,0.3772,0.25468,0.08525,0.31576,0.35417,0.24208,0.06902,2.45832,2.48028,2.70199,1.8988,0.00604137,0.00604137,0.00604137
9,83.3649,2.16802,2.68035,1.95859,1.70325,0.2917,0.24539,0.18494,0.05375,0.25071,0.2635,0.17311,0.03685,2.37278,2.73739,2.82222,1.86726,0.00590299,0.00590299,0.00590299
10,92.0934,2.08505,2.55314,1.86681,1.60424,0.40785,0.425,0.38952,0.14163,0.44328,0.4,0.36117,0.10959,2.01582,2.51973,1.88297,1.61294,0.00576462,0.00576462,0.00576462
11,100.89,2.08805,2.45261,1.83815,1.63094,0.24061,0.4053,0.25103,0.08286,0.25235,0.39583,0.25376,0.07838,2.10905,2.08106,2.0429,1.6885,0.00562624,0.00562624,0.00562624
12,109.403,1.97468,2.50939,1.78868,1.58927,0.31766,0.42083,0.31354,0.11242,0.35009,0.3883,0.29106,0.08252,2.08009,2.48066,1.96424,1.64805,0.00548786,0.00548786,0.00548786
13,118.132,2.05698,2.43644,1.82177,1.60681,0.38476,0.40651,0.32129,0.126,0.35562,0.425,0.31865,0.10588,2.01505,2.29031,1.91173,1.59624,0.00534949,0.00534949,0.00534949
14,126.884,1.95521,2.34893,1.79373,1.54162,0.33782,0.33373,0.26499,0.12118,0.32938,0.3254,0.24971,0.08057,1.89498,2.23688,1.95327,1.51994,0.00521111,0.00521111,0.00521111
15,135.662,1.9881,2.46087,1.77532,1.56042,0.34129,0.35621,0.31822,0.11174,0.36084,0.37917,0.31745,0.08734,2.2542,2.52385,2.19315,1.76525,0.00507274,0.00507274,0.00507274
16,144.251,1.97315,2.31397,1.69392,1.58629,0.31395,0.40417,0.25592,0.10133,0.3003,0.35417,0.23232,0.06874,2.21082,2.62258,2.19108,1.794,0.00493436,0.00493436,0.00493436
17,152.924,1.99595,2.44236,1.71587,1.59604,0.44794,0.49167,0.46249,0.18305,0.45763,0.475,0.45878,0.15208,1.91451,2.26663,1.69335,1.59244,0.00479598,0.00479598,0.00479598
18,161.688,1.98934,2.37604,1.67747,1.56761,0.45651,0.325,0.31995,0.1178,0.4319,0.31361,0.31696,0.09283,2.15449,2.59598,2.00662,1.68927,0.00465761,0.00465761,0.00465761
19,170.78,1.88048,2.28005,1.59229,1.51615,0.51334,0.54583,0.52278,0.21079,0.44087,0.54583,0.47591,0.15216,1.80972,2.07159,1.54903,1.54292,0.00451923,0.00451923,0.00451923
20,179.705,1.83164,2.20936,1.57234,1.50841,0.48086,0.48333,0.3817,0.16742,0.49027,0.4875,0.39211,0.14837,1.85694,2.02499,1.65246,1.57502,0.00438086,0.00438086,0.00438086
21,188.43,1.8414,2.36098,1.58176,1.46312,0.45266,0.41667,0.38303,0.17057,0.47382,0.41273,0.38085,0.12879,1.99944,2.32022,1.79358,1.62324,0.00424248,0.00424248,0.00424248
22,197.191,1.86595,2.24693,1.55887,1.46864,0.50145,0.5,0.46092,0.19677,0.50295,0.5125,0.47192,0.16616,1.82603,1.97103,1.66087,1.53276,0.0041041,0.0041041,0.0041041
23,205.667,1.82476,2.24233,1.54646,1.47452,0.45691,0.47083,0.41945,0.16716,0.47328,0.46667,0.42007,0.14002,1.89334,2.13067,1.71575,1.56049,0.00396573,0.00396573,0.00396573
24,214.385,1.77068,2.27719,1.49034,1.45249,0.54311,0.55833,0.54117,0.24023,0.59356,0.50417,0.57155,0.20817,1.76529,1.9468,1.47121,1.45455,0.00382735,0.00382735,0.00382735
25,223.223,1.79283,2.18229,1.48711,1.44709,0.50795,0.425,0.4121,0.15982,0.51523,0.4207,0.38458,0.12198,2.03492,2.43294,1.93683,1.62297,0.00368898,0.00368898,0.00368898
26,231.789,1.73123,2.21651,1.48167,1.42111,0.52015,0.49167,0.49354,0.22399,0.50537,0.4375,0.45159,0.13954,1.79756,2.29484,1.77371,1.49139,0.0035506,0.0035506,0.0035506
27,240.91,1.7462,2.21775,1.45754,1.44286,0.57958,0.52917,0.5351,0.25077,0.55616,0.51168,0.51589,0.18203,1.76716,4.0279,1.66727,1.49493,0.00341222,0.00341222,0.00341222
28,250.105,1.72121,2.17748,1.48193,1.41651,0.51235,0.51219,0.49796,0.2238,0.51968,0.47786,0.48772,0.17465,1.93956,2.22278,1.69085,1.53085,0.00327385,0.00327385,0.00327385
29,258.969,1.78622,2.21015,1.48998,1.42879,0.61107,0.59572,0.58222,0.27508,0.61534,0.59989,0.57947,0.21905,1.74911,1.81459,1.40026,1.44338,0.00313547,0.00313547,0.00313547
30,267.758,1.69894,2.05352,1.41882,1.39953,0.49197,0.51647,0.49146,0.24195,0.48006,0.50397,0.46548,0.19089,1.71878,1.81449,1.55157,1.41847,0.0029971,0.0029971,0.0029971
31,276.441,1.74981,2.2317,1.50942,1.40755,0.59543,0.47917,0.49609,0.2213,0.57016,0.45,0.45843,0.13447,1.86414,2.19703,1.63284,1.50053,0.00285872,0.00285872,0.00285872
32,285.317,1.78,2.33117,1.55817,1.43378,0.61768,0.57219,0.59603,0.28152,0.58806,0.55833,0.55433,0.18447,1.75669,2.06577,1.53409,1.46294,0.00272034,0.00272034,0.00272034
33,294.372,1.64922,2.10796,1.38416,1.365,0.59591,0.5776,0.60206,0.30903,0.63017,0.56667,0.59751,0.24662,1.61416,1.8143,1.3623,1.36059,0.00258197,0.00258197,0.00258197
34,303.185,1.62281,2.03986,1.34196,1.37956,0.5096,0.59583,0.54817,0.26719,0.52546,0.6,0.55193,0.2246,1.64361,1.90057,1.41388,1.36996,0.00244359,0.00244359,0.00244359
