epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5752,2.42492,3.45023,2.70789,1.75548,0.00051,0.00833,0.00042,0.00012,0.00015,0.0375,8e-05,2e-05,3.94718,729.914,180.012,20.4284,0.0693562,0.00226759,0.00226759
2,21.2068,2.18319,3.02088,2.06032,1.58236,0.01424,0.01667,0.00069,0.00021,0.00438,0.00417,5e-05,3e-05,4.48698,inf,6.68506,69.1046,0.0382293,0.00447405,0.00447405
3,30.5203,2.31732,3.19822,2.21528,1.68908,0.01967,0.125,0.00863,0.00239,0.01999,0.1125,0.00501,0.001,2.92444,100.271,6.01745,4.01367,0.00701166,0.00658972,0.00658972
4,39.6368,2.32869,2.93057,2.17692,1.76424,0.30005,0.30833,0.23338,0.08508,0.35854,0.29167,0.23038,0.06089,2.27046,3.0448,2.40737,1.84875,0.00648146,0.00648146,0.00648146
5,48.5597,2.22904,2.81532,2.04191,1.67089,0.18519,0.1625,0.10276,0.02928,0.27379,0.11667,0.06645,0.01943,2.73909,7.92295,2.85781,2.31055,0.00634528,0.00634528,0.00634528
6,57.4793,2.26224,2.76801,2.07054,1.70096,0.2921,0.35417,0.26503,0.08896,0.32299,0.325,0.28554,0.08923,2.06672,2.37062,2.3656,1.64482,0.0062091,0.0062091,0.0062091
7,66.2444,2.18742,2.74347,1.98572,1.68275,0.31614,0.43333,0.27462,0.11398,0.27653,0.4,0.23892,0.06354,2.14752,2.56046,2.49167,1.70962,0.00607292,0.00607292,0.00607292
8,75.1295,2.10394,2.70036,1.95471,1.66617,0.36012,0.30417,0.2891,0.09365,0.35094,0.27917,0.27084,0.06435,2.26483,3.86216,2.3671,1.78061,0.00593674,0.00593674,0.00593674
9,84.0059,2.05482,2.5491,1.81453,1.61814,0.45977,0.35107,0.40418,0.15679,0.57648,0.32917,0.39409,0.1458,2.03664,2.23183,1.92883,1.62834,0.00580056,0.00580056,0.00580056
10,93.0953,2.08959,2.55643,1.90295,1.62646,0.27905,0.2,0.15579,0.04324,0.28123,0.20833,0.15994,0.04074,2.41432,2.73102,2.85945,1.87018,0.00566438,0.00566438,0.00566438
11,102.511,2.04501,2.44173,1.81735,1.58736,0.48877,0.32917,0.36703,0.16263,0.37463,0.37941,0.3477,0.12364,1.97313,2.26081,1.92587,1.57402,0.00552821,0.00552821,0.00552821
12,111.48,1.93407,2.45622,1.7623,1.52719,0.47641,0.3375,0.34612,0.15402,0.44216,0.31045,0.28365,0.10251,1.99952,2.5416,1.96879,1.57219,0.00539203,0.00539203,0.00539203
13,120.386,1.95152,2.37943,1.73114,1.52449,0.36984,0.30417,0.275,0.11081,0.37153,0.28333,0.25234,0.07871,2.31436,2.88819,2.23919,1.86252,0.00525585,0.00525585,0.00525585
14,129.185,1.97786,2.50289,1.75901,1.54526,0.4666,0.45833,0.37669,0.13159,0.44232,0.44946,0.35098,0.08553,2.08292,2.21209,1.9045,1.6808,0.00511967,0.00511967,0.00511967
15,137.92,2.00225,2.48751,1.74964,1.53513,0.44707,0.53333,0.46085,0.20777,0.44163,0.49167,0.43724,0.16202,1.7865,2.11665,1.67635,1.46882,0.00498349,0.00498349,0.00498349
16,146.459,1.89992,2.35143,1.66147,1.50938,0.45014,0.4298,0.42898,0.18652,0.45416,0.40563,0.40975,0.14853,1.80216,2.05877,1.64586,1.49867,0.00484731,0.00484731,0.00484731
17,155.048,1.94674,2.44004,1.70635,1.56701,0.33923,0.40833,0.31903,0.12624,0.36345,0.375,0.29615,0.09141,2.01965,2.20576,1.89164,1.60768,0.00471113,0.00471113,0.00471113
18,163.568,2.01847,2.3941,1.70756,1.59547,0.40854,0.43333,0.38322,0.1699,0.41704,0.4,0.34534,0.12778,1.96108,2.36287,1.81545,1.62129,0.00457495,0.00457495,0.00457495
