epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1282,2.47737,3.50242,2.89432,1.84401,0.00035,0.05833,0.00019,4e-05,0,0,0,0,4.66513,8.72281,6.41438,13.1796,0.0703995,0.00331089,0.00331089
2,21.0402,2.34121,3.1603,2.30466,1.76185,0.0007,0.18333,0.00042,0.00015,0.00026,0.06667,0.00014,3e-05,3.74047,500.188,inf,13.0484,0.0402876,0.00653232,0.00653232
3,30.0633,2.54288,3.28662,2.48994,1.924,0.12947,0.09583,0.05743,0.01633,0.07082,0.11667,0.03756,0.00885,2.9078,3.40328,2.67479,2.47315,0.0100429,0.009621,0.009621
4,39.3303,2.47218,3.1192,2.34184,1.97191,0.18684,0.07917,0.04712,0.01375,0.15073,0.05833,0.04151,0.01112,2.70206,3.00294,39.7711,2.34123,0.00946265,0.00946265,0.00946265
5,48.5538,2.45431,3.0647,2.33808,1.95789,0.0482,0.08333,0.01059,0.00368,0.03856,0.06667,0.00621,0.00187,2.98659,3.49296,5.78035,2.5382,0.00926354,0.00926354,0.00926354
6,57.1764,2.40656,2.92506,2.29228,1.91119,0.20456,0.1875,0.08644,0.02577,0.16697,0.16203,0.05672,0.01334,2.9885,3.77948,3.23839,2.84806,0.00906442,0.00906442,0.00906442
7,66.0567,2.34271,2.94195,2.179,1.88426,0.32975,0.26667,0.21082,0.06774,0.3761,0.3,0.25594,0.0646,2.28106,2.40644,2.43406,1.90688,0.00886531,0.00886531,0.00886531
8,75.138,2.34478,2.81015,2.10099,1.89356,0.18911,0.18333,0.13054,0.0471,0.22565,0.1875,0.13797,0.03212,2.66009,3.20964,3.84169,2.13743,0.00866619,0.00866619,0.00866619
9,84.235,2.28262,2.87303,2.12305,1.84383,0.27642,0.05,0.04522,0.01215,0.06717,0.0125,0.00784,0.00119,3.19982,3.81877,12.9153,2.9283,0.00846708,0.00846708,0.00846708
10,93.4638,2.26908,2.68964,2.03161,1.82194,0.2322,0.20417,0.10295,0.0313,0.15676,0.1625,0.06408,0.01556,2.75124,3.38584,2.99994,2.57756,0.00826796,0.00826796,0.00826796
11,102.62,2.30769,2.67743,2.0551,1.89639,0.23038,0.0875,0.04412,0.01468,0.31884,0.09583,0.07259,0.01895,2.83178,3.90696,5.14967,2.55461,0.00806884,0.00806884,0.00806884
12,111.909,2.2425,2.58777,1.98849,1.86235,0.25403,0.38333,0.22472,0.07694,0.24332,0.29583,0.19213,0.04908,2.20415,2.39277,2.33059,1.86438,0.00786973,0.00786973,0.00786973
