epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7594,2.29323,3.32706,2.65289,1.68736,0.05062,0.02083,0.00526,0.00095,0.00027,0.04583,0.00019,4e-05,3.10098,4.6156,3.90718,2.58979,0.0686486,0.00156,0.00156
2,19.7562,2.03002,2.82924,1.96745,1.51368,0.22784,0.31667,0.18975,0.06508,0.21866,0.30417,0.18279,0.05029,2.33676,2.8462,2.72751,1.82916,0.0368331,0.00307783,0.00307783
3,28.3283,2.2056,2.87136,2.16519,1.6259,0.00921,0.06667,0.00273,0.00083,0.00337,0.02917,0.0008,0.00026,3.30544,63.2773,4.83214,7.39944,0.00495503,0.00453309,0.00453309
4,37.0551,2.06337,2.76334,2.00093,1.562,0.231,0.3,0.21431,0.09818,0.19976,0.24755,0.11152,0.02477,2.12137,3.03534,2.40017,1.66542,0.00445844,0.00445844,0.00445844
5,45.8103,2.01823,2.62051,1.8612,1.53236,0.11786,0.225,0.06942,0.02287,0.1124,0.1375,0.05134,0.01272,2.79308,20.0544,3.5652,5.34384,0.00436459,0.00436459,0.00436459
6,54.4912,2.08354,2.58443,1.90838,1.57775,0.40062,0.41497,0.33806,0.14869,0.34322,0.39583,0.26742,0.06868,2.05133,2.53124,1.84274,1.61101,0.00427074,0.00427074,0.00427074
7,63.036,1.98833,2.5377,1.77752,1.5338,0.44781,0.36831,0.35791,0.16009,0.49158,0.35833,0.34369,0.12642,2.07564,2.50279,1.9392,1.57546,0.00417689,0.00417689,0.00417689
8,71.6187,1.94868,2.46822,1.81936,1.49623,0.46031,0.39167,0.4096,0.16053,0.46417,0.39167,0.40117,0.13454,2.07757,3.38831,1.92381,1.58062,0.00408304,0.00408304,0.00408304
9,80.3789,1.90481,2.47566,1.72661,1.45496,0.31055,0.2875,0.24253,0.08507,0.30441,0.30833,0.23625,0.07724,2.23219,30.0172,2.24624,1.85412,0.00398918,0.00398918,0.00398918
10,89.0214,1.97055,2.45028,1.7444,1.49144,0.50736,0.4125,0.37625,0.16872,0.49791,0.35,0.33046,0.10027,1.98711,2.38707,1.87983,1.48461,0.00389533,0.00389533,0.00389533
11,97.8282,1.90112,2.34279,1.69871,1.47001,0.47633,0.48513,0.4158,0.20393,0.45826,0.45833,0.39492,0.12429,1.92587,2.26409,1.8793,1.4932,0.00380148,0.00380148,0.00380148
12,106.461,1.89165,2.37245,1.69035,1.46945,0.38151,0.3125,0.30446,0.12816,0.38252,0.24167,0.23216,0.05625,2.14534,3.77118,2.3349,1.97937,0.00370763,0.00370763,0.00370763
13,115.076,1.87414,2.36638,1.69129,1.4649,0.28507,0.45417,0.28775,0.14397,0.34927,0.40417,0.32272,0.12682,1.77069,1.99079,1.96872,1.37263,0.00361378,0.00361378,0.00361378
14,123.818,1.75066,2.29041,1.57123,1.3907,0.46566,0.57009,0.5028,0.23713,0.55953,0.45519,0.50229,0.18437,1.72891,1.86484,1.56193,1.31421,0.00351992,0.00351992,0.00351992
15,132.644,1.71218,2.22145,1.51597,1.33504,0.50156,0.66666,0.54862,0.28512,0.50699,0.65417,0.55892,0.2343,1.72748,1.78529,1.62714,1.28621,0.00342607,0.00342607,0.00342607
16,141.608,1.71067,2.12038,1.46933,1.36042,0.57374,0.53333,0.55806,0.26518,0.58194,0.51041,0.5832,0.2381,1.79967,1.86246,1.56757,1.36519,0.00333222,0.00333222,0.00333222
17,150.638,1.7825,2.24229,1.56491,1.41555,0.61354,0.53582,0.59101,0.32492,0.63914,0.53874,0.59961,0.257,1.6043,1.74919,1.44132,1.25685,0.00323837,0.00323837,0.00323837
18,159.169,1.69908,2.16326,1.46614,1.3396,0.55617,0.63177,0.63752,0.33792,0.5563,0.61121,0.6186,0.26982,1.72676,1.88957,1.44838,1.31694,0.00314452,0.00314452,0.00314452
19,167.841,1.65559,2.12965,1.37632,1.31701,0.62587,0.54368,0.61024,0.29722,0.59793,0.50417,0.57679,0.22593,1.77251,2.01813,1.3944,1.32541,0.00305066,0.00305066,0.00305066
20,176.428,1.78079,2.20152,1.47627,1.40493,0.55937,0.51667,0.50838,0.2527,0.52258,0.50833,0.4646,0.16735,1.86478,2.1831,1.71863,1.44514,0.00295681,0.00295681,0.00295681
21,185.075,1.76091,2.25927,1.52572,1.37763,0.56011,0.49167,0.47429,0.20757,0.52135,0.50376,0.47395,0.14063,2.03964,2.14961,1.76778,1.51757,0.00286296,0.00286296,0.00286296
22,193.85,1.78293,2.17793,1.48898,1.38652,0.54643,0.5625,0.5682,0.26779,0.54194,0.55,0.5656,0.1899,1.65689,1.98951,1.51701,1.30299,0.00276911,0.00276911,0.00276911
23,202.705,1.63312,2.08713,1.40058,1.31672,0.55304,0.55417,0.59143,0.32154,0.57171,0.53333,0.57483,0.22409,1.61045,1.87805,1.41732,1.27546,0.00267526,0.00267526,0.00267526
24,211.183,1.64572,2.06072,1.37849,1.3057,0.64685,0.67162,0.68466,0.33559,0.68725,0.65922,0.69427,0.28392,1.617,1.80346,1.2418,1.26363,0.0025814,0.0025814,0.0025814
25,219.854,1.68559,2.11464,1.41876,1.34316,0.65188,0.50833,0.60149,0.31887,0.66791,0.52083,0.59544,0.24491,1.71258,1.78153,1.45875,1.32277,0.00248755,0.00248755,0.00248755
26,228.561,1.58919,2.00947,1.33149,1.29876,0.69146,0.60696,0.66935,0.35916,0.68909,0.58333,0.6347,0.27112,1.60196,1.80971,1.2633,1.26391,0.0023937,0.0023937,0.0023937
27,237.269,1.5814,2.03182,1.31229,1.28689,0.71517,0.60833,0.70177,0.38041,0.72131,0.5875,0.69143,0.31125,1.53033,1.73249,1.40771,1.22677,0.00229985,0.00229985,0.00229985
28,246.056,1.56866,2.10996,1.34676,1.28745,0.77307,0.65,0.74006,0.3774,0.81895,0.65965,0.75096,0.26622,1.60345,1.84929,1.19626,1.25112,0.002206,0.002206,0.002206
29,254.582,1.55643,2.06985,1.30418,1.26515,0.71281,0.60833,0.6936,0.37155,0.73467,0.59993,0.67926,0.26379,1.63085,1.71647,1.23448,1.24849,0.00211214,0.00211214,0.00211214
30,263.153,1.58948,1.99985,1.25606,1.28963,0.73209,0.74583,0.76494,0.38566,0.72703,0.7,0.73768,0.29923,1.5874,1.76861,1.14324,1.22503,0.00201829,0.00201829,0.00201829
31,271.792,1.52522,2.04813,1.26569,1.26509,0.75349,0.70049,0.76356,0.40315,0.75247,0.70933,0.76593,0.3147,1.55394,1.72079,1.15818,1.24896,0.00192444,0.00192444,0.00192444
32,280.411,1.55644,2.05075,1.27737,1.28014,0.77826,0.62886,0.72913,0.39882,0.78124,0.62083,0.73874,0.31512,1.55165,1.65049,1.17788,1.22319,0.00183059,0.00183059,0.00183059
33,288.945,1.53215,1.95047,1.24484,1.25023,0.74288,0.69583,0.72844,0.39925,0.76894,0.7,0.73671,0.31682,1.49482,1.66217,1.16128,1.20303,0.00173674,0.00173674,0.00173674
34,297.556,1.51294,2.02613,1.2342,1.26883,0.75878,0.69583,0.75402,0.39823,0.77242,0.6875,0.74761,0.32954,1.52943,1.66333,1.14115,1.2003,0.00164288,0.00164288,0.00164288
35,306.4,1.45941,1.91302,1.19841,1.22569,0.7085,0.6375,0.70205,0.38295,0.71511,0.5875,0.6794,0.29148,1.53612,1.72493,1.26485,1.21319,0.00154903,0.00154903,0.00154903
36,314.956,1.48023,1.98539,1.1899,1.23703,0.68843,0.71667,0.75195,0.39858,0.66858,0.71448,0.73147,0.33112,1.54098,1.65849,1.16569,1.20461,0.00145518,0.00145518,0.00145518
37,323.576,1.4843,2.00836,1.20816,1.23499,0.77377,0.7125,0.78787,0.42596,0.76731,0.70417,0.75777,0.3337,1.44634,1.62514,1.16023,1.1681,0.00136133,0.00136133,0.00136133
38,332.455,1.46953,1.98914,1.18385,1.23684,0.77116,0.72917,0.77438,0.39976,0.76853,0.70556,0.76677,0.31857,1.55081,1.70814,1.17525,1.19582,0.00126748,0.00126748,0.00126748
39,348.56,1.4259,1.8999,1.13757,1.22958,0.73247,0.69583,0.76025,0.42022,0.77139,0.70296,0.77853,0.32554,1.48447,1.63377,1.10674,1.20013,0.00117362,0.00117362,0.00117362
40,368.667,1.43004,1.91307,1.14057,1.22126,0.79669,0.71667,0.77807,0.44591,0.75406,0.70833,0.76407,0.33928,1.45791,1.64111,1.09376,1.18164,0.00107977,0.00107977,0.00107977
41,418.808,1.44799,1.71453,1.15298,1.25392,0.7559,0.62917,0.7432,0.42875,0.8295,0.58787,0.75417,0.32235,1.47273,1.59588,1.12665,1.16903,0.00098592,0.00098592,0.00098592
42,438.033,1.41849,1.67421,1.12517,1.24446,0.77067,0.7001,0.77489,0.45058,0.77984,0.70843,0.79119,0.35832,1.45378,1.58015,1.07577,1.1635,0.000892068,0.000892068,0.000892068
43,457.512,1.40288,1.70343,1.09941,1.23423,0.81991,0.70833,0.80106,0.45352,0.84185,0.70977,0.81343,0.35532,1.43058,1.55592,1.04988,1.15153,0.000798216,0.000798216,0.000798216
44,477.18,1.34721,1.73819,1.07203,1.22986,0.78056,0.66693,0.76159,0.44885,0.80068,0.69167,0.78036,0.33855,1.45225,1.57623,1.07942,1.17626,0.000704364,0.000704364,0.000704364
45,496.321,1.38348,1.7055,1.08815,1.24965,0.79026,0.74583,0.80382,0.46361,0.78336,0.75417,0.80503,0.36199,1.40978,1.51533,1.04062,1.13778,0.000610512,0.000610512,0.000610512
46,515.584,1.3318,1.66774,1.07479,1.23063,0.77021,0.76814,0.82646,0.47279,0.79301,0.76621,0.8245,0.38063,1.41882,1.51389,1.01431,1.14112,0.00051666,0.00051666,0.00051666
47,534.657,1.32216,1.61127,1.02197,1.20193,0.78145,0.67917,0.79024,0.4589,0.80066,0.6875,0.79846,0.37078,1.39393,1.52678,1.04641,1.15093,0.000422808,0.000422808,0.000422808
48,553.791,1.31101,1.65279,1.02026,1.20121,0.75327,0.71239,0.78429,0.45763,0.72881,0.7125,0.76756,0.35484,1.46146,1.5869,1.05491,1.16039,0.000328956,0.000328956,0.000328956
49,572.628,1.30481,1.62567,1.01647,1.19982,0.78478,0.74446,0.81997,0.47826,0.77341,0.74167,0.80482,0.37258,1.38863,1.52032,0.96235,1.13905,0.000235104,0.000235104,0.000235104
50,590.871,1.3007,1.62094,0.99441,1.19215,0.79783,0.775,0.82692,0.48125,0.79208,0.76191,0.82022,0.37343,1.38094,1.49999,0.95087,1.14403,0.000141252,0.000141252,0.000141252
